"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Mar 22 2023 11:01:00 GMT+0530 (India Standard Time)","39942.15","39942.85","39933.20","39936.35","-0.01","-0.01","0"
"Wed Mar 22 2023 11:02:00 GMT+0530 (India Standard Time)","39936.75","39936.75","39908.00","39908.00","-0.07","-0.07","0"
"Wed Mar 22 2023 11:03:00 GMT+0530 (India Standard Time)","39907.85","39908.65","39869.65","39873.55","-0.09","-0.09","0"
"Wed Mar 22 2023 11:04:00 GMT+0530 (India Standard Time)","39872.95","39894.90","39870.80","39893.25","0.05","0.05","0"
"Wed Mar 22 2023 11:05:00 GMT+0530 (India Standard Time)","39893.25","39895.40","39869.15","39869.15","-0.06","-0.06","0"
"Wed Mar 22 2023 11:06:00 GMT+0530 (India Standard Time)","39869.95","39869.95","39848.45","39860.60","-0.02","-0.02","0"
"Wed Mar 22 2023 11:07:00 GMT+0530 (India Standard Time)","39855.90","39882.90","39854.90","39878.55","0.05","0.05","0"
"Wed Mar 22 2023 11:08:00 GMT+0530 (India Standard Time)","39878.30","39880.20","39852.95","39868.20","-0.03","-0.03","0"
"Wed Mar 22 2023 11:09:00 GMT+0530 (India Standard Time)","39865.15","39881.20","39863.75","39875.55","0.02","0.02","0"
"Wed Mar 22 2023 11:10:00 GMT+0530 (India Standard Time)","39878.60","39896.85","39874.45","39896.30","0.05","0.05","0"
"Wed Mar 22 2023 11:11:00 GMT+0530 (India Standard Time)","39894.65","39911.75","39892.75","39911.75","0.04","0.04","0"
"Wed Mar 22 2023 11:12:00 GMT+0530 (India Standard Time)","39904.75","39919.55","39892.45","39892.45","-0.05","-0.05","0"
"Wed Mar 22 2023 11:13:00 GMT+0530 (India Standard Time)","39893.90","39899.90","39882.25","39894.65","0.01","0.01","0"
"Wed Mar 22 2023 11:14:00 GMT+0530 (India Standard Time)","39895.55","39911.75","39895.50","39908.55","0.03","0.04","0"
"Wed Mar 22 2023 11:15:00 GMT+0530 (India Standard Time)","39912.20","39916.50","39899.95","39900.30","-0.02","-0.02","0"
"Wed Mar 22 2023 11:16:00 GMT+0530 (India Standard Time)","39898.20","39900.35","39891.50","39894.70","-0.01","-0.01","0"
"Wed Mar 22 2023 11:17:00 GMT+0530 (India Standard Time)","39897.15","39898.30","39886.30","39893.90","0","0","0"
"Wed Mar 22 2023 11:18:00 GMT+0530 (India Standard Time)","39893.15","39922.80","39889.15","39920.70","0.07","0.07","0"
"Wed Mar 22 2023 11:19:00 GMT+0530 (India Standard Time)","39922.85","39939.60","39921.60","39927.70","0.02","0.02","0"
"Wed Mar 22 2023 11:20:00 GMT+0530 (India Standard Time)","39928.30","39928.30","39903.50","39910.90","-0.04","-0.04","0"
"Wed Mar 22 2023 11:21:00 GMT+0530 (India Standard Time)","39911.60","39929.55","39910.05","39920.75","0.02","0.03","0"
"Wed Mar 22 2023 11:22:00 GMT+0530 (India Standard Time)","39919.10","39930.85","39911.25","39917.25","-0.01","-0.01","0"
"Wed Mar 22 2023 11:23:00 GMT+0530 (India Standard Time)","39916.75","39920.85","39913.70","39915.75","0","0","0"
"Wed Mar 22 2023 11:24:00 GMT+0530 (India Standard Time)","39916.30","39928.75","39916.30","39928.75","0.03","0.03","0"
"Wed Mar 22 2023 11:25:00 GMT+0530 (India Standard Time)","39929.20","39944.70","39926.20","39939.40","0.03","0.03","0"
"Wed Mar 22 2023 11:26:00 GMT+0530 (India Standard Time)","39941.05","39957.10","39939.70","39949.50","0.03","0.03","0"
"Wed Mar 22 2023 11:27:00 GMT+0530 (India Standard Time)","39951.50","39954.00","39942.85","39949.55","0","0","0"
"Wed Mar 22 2023 11:28:00 GMT+0530 (India Standard Time)","39948.55","39967.10","39946.80","39966.05","0.04","0.04","0"
"Wed Mar 22 2023 11:29:00 GMT+0530 (India Standard Time)","39968.90","39992.05","39964.80","39992.05","0.07","0.07","0"
"Wed Mar 22 2023 11:30:00 GMT+0530 (India Standard Time)","39990.85","39999.05","39981.85","39984.70","-0.02","-0.02","0"
