"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Sep 11 2023 14:39:00 GMT+0530 (India Standard Time)","45511.05","45519.70","45508.90","45516.95","0.02","0.02","0"
"Mon Sep 11 2023 14:40:00 GMT+0530 (India Standard Time)","45518.15","45519.40","45511.45","45515.80","0","0","0"
"Mon Sep 11 2023 14:41:00 GMT+0530 (India Standard Time)","45513.05","45516.10","45497.25","45515.30","0","0","0"
"Mon Sep 11 2023 14:42:00 GMT+0530 (India Standard Time)","45516.95","45529.50","45511.05","45521.10","0.01","0.01","0"
"Mon Sep 11 2023 14:43:00 GMT+0530 (India Standard Time)","45527.05","45536.15","45521.15","45534.40","0.03","0.03","0"
"Mon Sep 11 2023 14:44:00 GMT+0530 (India Standard Time)","45534.85","45540.90","45530.15","45540.40","0.01","0.01","0"
"Mon Sep 11 2023 14:45:00 GMT+0530 (India Standard Time)","45541.45","45549.80","45536.70","45547.80","0.02","0.02","0"
"Mon Sep 11 2023 14:46:00 GMT+0530 (India Standard Time)","45546.75","45564.65","45546.70","45562.80","0.03","0.03","0"
"Mon Sep 11 2023 14:47:00 GMT+0530 (India Standard Time)","45562.65","45565.50","45553.55","45558.50","-0.01","-0.01","0"
"Mon Sep 11 2023 14:48:00 GMT+0530 (India Standard Time)","45559.60","45562.15","45538.95","45541.15","-0.04","-0.04","0"
"Mon Sep 11 2023 14:49:00 GMT+0530 (India Standard Time)","45544.25","45569.35","45541.15","45569.35","0.06","0.06","0"
"Mon Sep 11 2023 14:50:00 GMT+0530 (India Standard Time)","45568.40","45576.80","45555.40","45576.80","0.02","0.02","0"
"Mon Sep 11 2023 14:51:00 GMT+0530 (India Standard Time)","45576.10","45585.60","45564.45","45564.45","-0.03","-0.03","0"
"Mon Sep 11 2023 14:52:00 GMT+0530 (India Standard Time)","45563.10","45564.80","45549.65","45551.65","-0.03","-0.03","0"
"Mon Sep 11 2023 14:53:00 GMT+0530 (India Standard Time)","45548.80","45553.10","45544.40","45549.80","0","0","0"
"Mon Sep 11 2023 14:54:00 GMT+0530 (India Standard Time)","45550.05","45553.90","45545.50","45547.35","-0.01","-0.01","0"
"Mon Sep 11 2023 14:55:00 GMT+0530 (India Standard Time)","45546.05","45546.55","45528.00","45528.50","-0.04","-0.04","0"
"Mon Sep 11 2023 14:56:00 GMT+0530 (India Standard Time)","45530.20","45536.75","45520.45","45535.10","0.01","0.01","0"
"Mon Sep 11 2023 14:57:00 GMT+0530 (India Standard Time)","45534.50","45534.50","45516.20","45521.60","-0.03","-0.03","0"
"Mon Sep 11 2023 14:58:00 GMT+0530 (India Standard Time)","45523.35","45532.65","45516.30","45532.20","0.02","0.02","0"
"Mon Sep 11 2023 14:59:00 GMT+0530 (India Standard Time)","45530.70","45544.85","45529.90","45537.40","0.01","0.01","0"
"Mon Sep 11 2023 15:00:00 GMT+0530 (India Standard Time)","45534.85","45542.55","45531.50","45539.75","0.01","0","0"
"Mon Sep 11 2023 15:01:00 GMT+0530 (India Standard Time)","45541.20","45544.20","45528.05","45542.75","0.01","0.01","0"
"Mon Sep 11 2023 15:02:00 GMT+0530 (India Standard Time)","45540.45","45561.65","45540.45","45554.55","0.03","0.03","0"
"Mon Sep 11 2023 15:03:00 GMT+0530 (India Standard Time)","45555.10","45566.30","45553.80","45565.90","0.02","0.02","0"
"Mon Sep 11 2023 15:04:00 GMT+0530 (India Standard Time)","45566.95","45566.95","45549.70","45557.15","-0.02","-0.02","0"
"Mon Sep 11 2023 15:05:00 GMT+0530 (India Standard Time)","45556.15","45556.75","45541.25","45548.20","-0.02","-0.02","0"
"Mon Sep 11 2023 15:06:00 GMT+0530 (India Standard Time)","45552.10","45567.40","45549.35","45556.65","0.02","0.02","0"
"Mon Sep 11 2023 15:07:00 GMT+0530 (India Standard Time)","45558.45","45564.80","45555.45","45563.20","0.01","0.01","0"
"Mon Sep 11 2023 15:08:00 GMT+0530 (India Standard Time)","45563.45","45567.80","45545.30","45558.05","-0.01","-0.01","0"
"Mon Sep 11 2023 15:09:00 GMT+0530 (India Standard Time)","45558.60","45575.30","45556.50","45572.20","0.03","0.03","0"
"Mon Sep 11 2023 15:10:00 GMT+0530 (India Standard Time)","45573.30","45577.80","45567.75","45572.95","0","0","0"
"Mon Sep 11 2023 15:11:00 GMT+0530 (India Standard Time)","45572.20","45578.85","45566.80","45572.70","0","0","0"
"Mon Sep 11 2023 15:12:00 GMT+0530 (India Standard Time)","45573.60","45581.85","45570.45","45581.85","0.02","0.02","0"
"Mon Sep 11 2023 15:13:00 GMT+0530 (India Standard Time)","45580.45","45584.35","45570.25","45570.80","-0.02","-0.03","0"
"Mon Sep 11 2023 15:14:00 GMT+0530 (India Standard Time)","45570.85","45577.80","45567.50","45575.30","0.01","0.01","0"
"Mon Sep 11 2023 15:15:00 GMT+0530 (India Standard Time)","45575.00","45598.60","45572.85","45596.30","0.05","0.05","0"
