"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Aug 02 2022 10:26:00 GMT+0530 (India Standard Time)","37723.05","37724.30","37700.40","37702.90","-0.05","-0.05","0"
"Tue Aug 02 2022 10:27:00 GMT+0530 (India Standard Time)","37704.85","37706.80","37691.90","37702.25","0","0","0"
"Tue Aug 02 2022 10:28:00 GMT+0530 (India Standard Time)","37703.85","37718.25","37700.55","37707.25","0.01","0.01","0"
"Tue Aug 02 2022 10:29:00 GMT+0530 (India Standard Time)","37709.35","37709.60","37702.80","37707.20","0","0","0"
"Tue Aug 02 2022 10:30:00 GMT+0530 (India Standard Time)","37706.35","37725.15","37706.35","37723.55","0.04","0.04","0"
"Tue Aug 02 2022 10:31:00 GMT+0530 (India Standard Time)","37723.40","37734.95","37721.95","37732.10","0.02","0.02","0"
"Tue Aug 02 2022 10:32:00 GMT+0530 (India Standard Time)","37732.15","37741.90","37727.35","37736.40","0.01","0.01","0"
"Tue Aug 02 2022 10:33:00 GMT+0530 (India Standard Time)","37734.65","37744.70","37723.90","37744.35","0.02","0.02","0"
"Tue Aug 02 2022 10:34:00 GMT+0530 (India Standard Time)","37743.15","37751.20","37735.40","37742.50","0","-0.01","0"
"Tue Aug 02 2022 10:35:00 GMT+0530 (India Standard Time)","37742.35","37752.55","37737.20","37743.90","0","0","0"
"Tue Aug 02 2022 10:36:00 GMT+0530 (India Standard Time)","37746.45","37752.05","37741.45","37747.95","0.01","0.01","0"
"Tue Aug 02 2022 10:37:00 GMT+0530 (India Standard Time)","37748.65","37772.55","37747.60","37772.20","0.06","0.06","0"
"Tue Aug 02 2022 10:38:00 GMT+0530 (India Standard Time)","37772.25","37792.25","37772.25","37785.65","0.04","0.04","0"
"Tue Aug 02 2022 10:39:00 GMT+0530 (India Standard Time)","37786.65","37817.80","37784.80","37817.80","0.09","0.08","0"
"Tue Aug 02 2022 10:40:00 GMT+0530 (India Standard Time)","37817.80","37820.95","37799.05","37803.10","-0.04","-0.04","0"
"Tue Aug 02 2022 10:41:00 GMT+0530 (India Standard Time)","37804.75","37828.70","37804.75","37826.00","0.06","0.06","0"
"Tue Aug 02 2022 10:42:00 GMT+0530 (India Standard Time)","37825.35","37828.80","37817.25","37817.25","-0.02","-0.02","0"
"Tue Aug 02 2022 10:43:00 GMT+0530 (India Standard Time)","37818.15","37825.15","37807.90","37812.75","-0.01","-0.01","0"
"Tue Aug 02 2022 10:44:00 GMT+0530 (India Standard Time)","37811.55","37838.50","37809.70","37838.50","0.07","0.07","0"
"Tue Aug 02 2022 10:45:00 GMT+0530 (India Standard Time)","37840.20","37858.55","37835.35","37835.35","-0.01","-0.01","0"
"Tue Aug 02 2022 10:46:00 GMT+0530 (India Standard Time)","37837.25","37850.00","37820.40","37827.85","-0.02","-0.02","0"
"Tue Aug 02 2022 10:47:00 GMT+0530 (India Standard Time)","37825.25","37828.80","37814.50","37815.10","-0.03","-0.03","0"
"Tue Aug 02 2022 10:48:00 GMT+0530 (India Standard Time)","37814.10","37819.05","37811.55","37814.70","0","0","0"
"Tue Aug 02 2022 10:49:00 GMT+0530 (India Standard Time)","37814.30","37821.65","37807.20","37808.70","-0.02","-0.02","0"
"Tue Aug 02 2022 10:50:00 GMT+0530 (India Standard Time)","37808.50","37814.80","37799.10","37800.75","-0.02","-0.02","0"
"Tue Aug 02 2022 10:51:00 GMT+0530 (India Standard Time)","37801.40","37818.45","37800.00","37816.45","0.04","0.04","0"
"Tue Aug 02 2022 10:52:00 GMT+0530 (India Standard Time)","37815.30","37844.55","37814.50","37841.05","0.07","0.06","0"
"Tue Aug 02 2022 10:53:00 GMT+0530 (India Standard Time)","37840.00","37842.45","37821.35","37827.15","-0.04","-0.04","0"
"Tue Aug 02 2022 10:54:00 GMT+0530 (India Standard Time)","37823.30","37834.10","37822.55","37830.45","0.01","0.01","0"
"Tue Aug 02 2022 10:55:00 GMT+0530 (India Standard Time)","37831.00","37831.80","37820.65","37829.50","0","0","0"
"Tue Aug 02 2022 10:56:00 GMT+0530 (India Standard Time)","37828.10","37833.30","37823.80","37829.30","0","0","0"
"Tue Aug 02 2022 10:57:00 GMT+0530 (India Standard Time)","37829.55","37835.05","37823.80","37835.05","0.02","0.01","0"
"Tue Aug 02 2022 10:58:00 GMT+0530 (India Standard Time)","37833.95","37833.95","37824.75","37826.20","-0.02","-0.02","0"
"Tue Aug 02 2022 10:59:00 GMT+0530 (India Standard Time)","37827.40","37833.50","37811.00","37824.10","-0.01","-0.01","0"
"Tue Aug 02 2022 11:00:00 GMT+0530 (India Standard Time)","37825.05","37831.50","37821.80","37827.25","0.01","0.01","0"
"Tue Aug 02 2022 11:01:00 GMT+0530 (India Standard Time)","37829.50","37837.35","37808.50","37808.50","-0.05","-0.05","0"
"Tue Aug 02 2022 11:02:00 GMT+0530 (India Standard Time)","37806.55","37811.70","37793.50","37800.20","-0.02","-0.02","0"
"Tue Aug 02 2022 11:03:00 GMT+0530 (India Standard Time)","37800.85","37800.85","37773.30","37778.85","-0.06","-0.06","0"
