"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Apr 27 2021 09:15:00 GMT+0530 (India Standard Time)","32228.95","32404.60","32158.80","32387.90","0.36","0.36","0"
"Tue Apr 27 2021 09:16:00 GMT+0530 (India Standard Time)","32399.50","32442.90","32382.30","32425.10","0.11","0.11","0"
"Tue Apr 27 2021 09:17:00 GMT+0530 (India Standard Time)","32427.05","32429.95","32357.70","32360.75","-0.20","-0.20","0"
"Tue Apr 27 2021 09:18:00 GMT+0530 (India Standard Time)","32360.80","32361.25","32302.40","32317.45","-0.13","-0.14","0"
"Tue Apr 27 2021 09:19:00 GMT+0530 (India Standard Time)","32316.80","32326.10","32298.45","32311.85","-0.02","-0.02","0"
"Tue Apr 27 2021 09:20:00 GMT+0530 (India Standard Time)","32306.15","32306.15","32214.70","32224.20","-0.27","-0.28","0"
"Tue Apr 27 2021 09:21:00 GMT+0530 (India Standard Time)","32226.45","32258.50","32192.90","32233.45","0.03","0.02","0"
"Tue Apr 27 2021 09:22:00 GMT+0530 (India Standard Time)","32241.60","32255.25","32212.90","32253.25","0.06","0.06","0"
"Tue Apr 27 2021 09:23:00 GMT+0530 (India Standard Time)","32249.20","32288.15","32242.40","32273.50","0.06","0.06","0"
"Tue Apr 27 2021 09:24:00 GMT+0530 (India Standard Time)","32275.10","32290.05","32264.00","32279.20","0.02","0.01","0"
"Tue Apr 27 2021 09:25:00 GMT+0530 (India Standard Time)","32275.35","32275.35","32220.20","32223.95","-0.17","-0.18","0"
"Tue Apr 27 2021 09:26:00 GMT+0530 (India Standard Time)","32223.90","32232.25","32214.80","32227.50","0.01","0.01","0"
"Tue Apr 27 2021 09:27:00 GMT+0530 (India Standard Time)","32227.95","32249.25","32223.65","32234.15","0.02","0.02","0"
"Tue Apr 27 2021 09:28:00 GMT+0530 (India Standard Time)","32227.20","32231.40","32207.85","32213.25","-0.06","-0.07","0"
"Tue Apr 27 2021 09:29:00 GMT+0530 (India Standard Time)","32210.95","32230.05","32199.85","32207.40","-0.02","-0.02","0"
