"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Nov 21 2023 15:19:00 GMT+0530 (India Standard Time)","43684.00","43692.95","43683.70","43684.65","0","0","0"
"Tue Nov 21 2023 15:20:00 GMT+0530 (India Standard Time)","43687.70","43693.55","43676.00","43681.05","-0.01","-0.01","0"
"Tue Nov 21 2023 15:21:00 GMT+0530 (India Standard Time)","43677.10","43698.25","43677.10","43692.25","0.03","0.03","0"
"Tue Nov 21 2023 15:22:00 GMT+0530 (India Standard Time)","43691.50","43698.95","43685.95","43692.85","0","0","0"
"Tue Nov 21 2023 15:23:00 GMT+0530 (India Standard Time)","43691.40","43705.20","43691.40","43699.50","0.02","0.01","0"
"Tue Nov 21 2023 15:24:00 GMT+0530 (India Standard Time)","43700.00","43706.10","43693.80","43700.65","0","0","0"
"Tue Nov 21 2023 15:25:00 GMT+0530 (India Standard Time)","43698.65","43708.55","43693.15","43699.15","0","0","0"
"Tue Nov 21 2023 15:26:00 GMT+0530 (India Standard Time)","43699.55","43710.05","43694.60","43704.10","0.01","0.01","0"
"Tue Nov 21 2023 15:27:00 GMT+0530 (India Standard Time)","43702.85","43709.05","43693.80","43701.40","-0.01","-0.01","0"
"Tue Nov 21 2023 15:28:00 GMT+0530 (India Standard Time)","43701.15","43709.45","43681.65","43696.75","-0.01","-0.01","0"
"Tue Nov 21 2023 15:29:00 GMT+0530 (India Standard Time)","43694.45","43710.00","43684.75","43694.95","0","0","0"
"Wed Nov 22 2023 09:15:00 GMT+0530 (India Standard Time)","43663.60","43692.50","43592.55","43621.00","-0.17","-0.17","0"
"Wed Nov 22 2023 09:16:00 GMT+0530 (India Standard Time)","43625.85","43631.20","43608.10","43628.25","0.02","0.02","0"
"Wed Nov 22 2023 09:17:00 GMT+0530 (India Standard Time)","43628.15","43650.50","43622.70","43646.45","0.04","0.04","0"
"Wed Nov 22 2023 09:18:00 GMT+0530 (India Standard Time)","43646.40","43667.45","43642.60","43656.50","0.02","0.02","0"
"Wed Nov 22 2023 09:19:00 GMT+0530 (India Standard Time)","43651.25","43669.65","43650.05","43660.70","0.01","0.01","0"
"Wed Nov 22 2023 09:20:00 GMT+0530 (India Standard Time)","43657.35","43657.35","43638.25","43639.25","-0.05","-0.05","0"
"Wed Nov 22 2023 09:21:00 GMT+0530 (India Standard Time)","43636.85","43651.50","43633.60","43637.20","0","-0.01","0"
"Wed Nov 22 2023 09:22:00 GMT+0530 (India Standard Time)","43636.60","43637.05","43628.65","43632.65","-0.01","-0.01","0"
"Wed Nov 22 2023 09:23:00 GMT+0530 (India Standard Time)","43628.40","43646.60","43616.95","43623.00","-0.02","-0.02","0"
"Wed Nov 22 2023 09:24:00 GMT+0530 (India Standard Time)","43630.40","43634.30","43621.25","43630.25","0.02","0.02","0"
"Wed Nov 22 2023 09:25:00 GMT+0530 (India Standard Time)","43629.85","43640.95","43627.30","43632.50","0.01","0","0"
"Wed Nov 22 2023 09:26:00 GMT+0530 (India Standard Time)","43633.45","43633.45","43605.50","43613.80","-0.04","-0.04","0"
"Wed Nov 22 2023 09:27:00 GMT+0530 (India Standard Time)","43615.65","43620.70","43596.95","43596.95","-0.04","-0.04","0"
"Wed Nov 22 2023 09:28:00 GMT+0530 (India Standard Time)","43600.25","43608.60","43563.55","43569.75","-0.06","-0.06","0"
