"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Thu Jul 29 2021 14:59:00 GMT+0530 (India Standard Time)","34688.45","34700.85","34686.30","34696.40","0.03","0.03","0"
"Thu Jul 29 2021 15:00:00 GMT+0530 (India Standard Time)","34698.85","34726.55","34694.50","34721.60","0.07","0.07","0"
"Thu Jul 29 2021 15:01:00 GMT+0530 (India Standard Time)","34722.85","34723.35","34686.50","34686.50","-0.10","-0.10","0"
"Thu Jul 29 2021 15:02:00 GMT+0530 (India Standard Time)","34689.75","34696.70","34681.05","34682.70","-0.01","-0.01","0"
"Thu Jul 29 2021 15:03:00 GMT+0530 (India Standard Time)","34684.30","34702.00","34683.65","34693.40","0.03","0.03","0"
"Thu Jul 29 2021 15:04:00 GMT+0530 (India Standard Time)","34695.00","34696.05","34681.75","34686.05","-0.02","-0.02","0"
"Thu Jul 29 2021 15:05:00 GMT+0530 (India Standard Time)","34684.45","34687.30","34678.55","34686.45","0","0","0"
"Thu Jul 29 2021 15:06:00 GMT+0530 (India Standard Time)","34686.55","34688.55","34668.15","34670.45","-0.05","-0.05","0"
"Thu Jul 29 2021 15:07:00 GMT+0530 (India Standard Time)","34673.40","34691.35","34668.70","34683.95","0.04","0.04","0"
"Thu Jul 29 2021 15:08:00 GMT+0530 (India Standard Time)","34683.20","34684.30","34669.20","34670.45","-0.04","-0.04","0"
"Thu Jul 29 2021 15:09:00 GMT+0530 (India Standard Time)","34674.10","34678.65","34665.50","34667.45","-0.01","-0.01","0"
"Thu Jul 29 2021 15:10:00 GMT+0530 (India Standard Time)","34669.25","34678.20","34657.50","34671.50","0.01","0.01","0"
"Thu Jul 29 2021 15:11:00 GMT+0530 (India Standard Time)","34670.75","34675.85","34662.05","34674.60","0.01","0.01","0"
"Thu Jul 29 2021 15:12:00 GMT+0530 (India Standard Time)","34673.10","34677.20","34667.10","34672.35","-0.01","-0.01","0"
"Thu Jul 29 2021 15:13:00 GMT+0530 (India Standard Time)","34672.50","34672.50","34655.45","34657.50","-0.04","-0.04","0"
"Thu Jul 29 2021 15:14:00 GMT+0530 (India Standard Time)","34658.85","34679.05","34654.40","34676.15","0.05","0.05","0"
"Thu Jul 29 2021 15:15:00 GMT+0530 (India Standard Time)","34677.35","34686.55","34672.90","34683.15","0.02","0.02","0"
"Thu Jul 29 2021 15:16:00 GMT+0530 (India Standard Time)","34684.15","34684.45","34677.80","34679.05","-0.01","-0.01","0"
"Thu Jul 29 2021 15:17:00 GMT+0530 (India Standard Time)","34678.85","34683.85","34674.15","34675.50","-0.01","-0.01","0"
"Thu Jul 29 2021 15:18:00 GMT+0530 (India Standard Time)","34676.75","34688.45","34674.60","34684.30","0.03","0.02","0"
"Thu Jul 29 2021 15:19:00 GMT+0530 (India Standard Time)","34684.15","34690.30","34683.40","34688.55","0.01","0.01","0"
"Thu Jul 29 2021 15:20:00 GMT+0530 (India Standard Time)","34689.00","34690.45","34674.85","34689.75","0","0","0"
"Thu Jul 29 2021 15:21:00 GMT+0530 (India Standard Time)","34689.75","34704.85","34680.75","34686.80","-0.01","-0.01","0"
"Thu Jul 29 2021 15:22:00 GMT+0530 (India Standard Time)","34688.10","34700.85","34688.10","34696.35","0.03","0.03","0"
"Thu Jul 29 2021 15:23:00 GMT+0530 (India Standard Time)","34699.50","34720.80","34698.40","34716.95","0.06","0.06","0"
"Thu Jul 29 2021 15:24:00 GMT+0530 (India Standard Time)","34718.85","34731.25","34717.95","34717.95","0","0","0"
"Thu Jul 29 2021 15:25:00 GMT+0530 (India Standard Time)","34719.35","34727.70","34716.65","34722.65","0.01","0.01","0"
"Thu Jul 29 2021 15:26:00 GMT+0530 (India Standard Time)","34721.45","34727.65","34714.45","34725.20","0.01","0.01","0"
"Thu Jul 29 2021 15:27:00 GMT+0530 (India Standard Time)","34725.30","34734.90","34723.45","34733.20","0.02","0.02","0"
"Thu Jul 29 2021 15:28:00 GMT+0530 (India Standard Time)","34736.15","34736.15","34725.15","34730.70","-0.01","-0.01","0"
"Thu Jul 29 2021 15:29:00 GMT+0530 (India Standard Time)","34731.85","34753.50","34724.80","34750.85","0.06","0.06","0"
"Fri Jul 30 2021 09:15:00 GMT+0530 (India Standard Time)","34698.75","34698.75","34457.55","34607.65","-0.41","-0.41","0"
"Fri Jul 30 2021 09:16:00 GMT+0530 (India Standard Time)","34605.35","34665.50","34605.05","34642.05","0.10","0.10","0"
"Fri Jul 30 2021 09:17:00 GMT+0530 (India Standard Time)","34640.20","34641.25","34609.10","34628.40","-0.04","-0.04","0"
"Fri Jul 30 2021 09:18:00 GMT+0530 (India Standard Time)","34626.95","34647.70","34617.50","34645.60","0.05","0.05","0"
"Fri Jul 30 2021 09:19:00 GMT+0530 (India Standard Time)","34649.15","34692.40","34640.35","34691.00","0.13","0.13","0"
"Fri Jul 30 2021 09:20:00 GMT+0530 (India Standard Time)","34690.30","34712.75","34690.30","34696.90","0.02","0.02","0"
"Fri Jul 30 2021 09:21:00 GMT+0530 (India Standard Time)","34696.45","34699.40","34642.35","34643.95","-0.15","-0.15","0"
"Fri Jul 30 2021 09:22:00 GMT+0530 (India Standard Time)","34644.05","34645.80","34592.95","34605.00","-0.11","-0.11","0"
"Fri Jul 30 2021 09:23:00 GMT+0530 (India Standard Time)","34603.05","34603.85","34571.70","34596.50","-0.02","-0.02","0"
"Fri Jul 30 2021 09:24:00 GMT+0530 (India Standard Time)","34594.80","34611.60","34587.25","34606.40","0.03","0.03","0"
"Fri Jul 30 2021 09:25:00 GMT+0530 (India Standard Time)","34604.85","34604.85","34550.90","34551.30","-0.16","-0.16","0"
"Fri Jul 30 2021 09:26:00 GMT+0530 (India Standard Time)","34554.95","34561.85","34536.60","34559.60","0.02","0.02","0"
"Fri Jul 30 2021 09:27:00 GMT+0530 (India Standard Time)","34559.45","34581.80","34553.05","34575.20","0.05","0.04","0"
"Fri Jul 30 2021 09:28:00 GMT+0530 (India Standard Time)","34570.45","34584.45","34562.95","34583.15","0.02","0.02","0"
"Fri Jul 30 2021 09:29:00 GMT+0530 (India Standard Time)","34592.80","34642.40","34585.65","34642.40","0.17","0.17","0"
"Fri Jul 30 2021 09:30:00 GMT+0530 (India Standard Time)","34645.55","34645.55","34608.20","34613.15","-0.08","-0.08","0"
"Fri Jul 30 2021 09:31:00 GMT+0530 (India Standard Time)","34611.70","34621.55","34602.70","34615.55","0.01","0.01","0"
"Fri Jul 30 2021 09:32:00 GMT+0530 (India Standard Time)","34610.20","34625.85","34607.20","34619.00","0.01","0.01","0"
"Fri Jul 30 2021 09:33:00 GMT+0530 (India Standard Time)","34616.60","34633.35","34604.45","34633.35","0.04","0.04","0"
"Fri Jul 30 2021 09:34:00 GMT+0530 (India Standard Time)","34630.95","34633.95","34603.80","34625.25","-0.02","-0.02","0"
"Fri Jul 30 2021 09:35:00 GMT+0530 (India Standard Time)","34625.05","34650.40","34625.05","34650.40","0.07","0.07","0"
"Fri Jul 30 2021 09:36:00 GMT+0530 (India Standard Time)","34650.15","34669.80","34632.40","34650.50","0","0","0"
"Fri Jul 30 2021 09:37:00 GMT+0530 (India Standard Time)","34645.00","34645.10","34625.75","34630.10","-0.06","-0.06","0"
"Fri Jul 30 2021 09:38:00 GMT+0530 (India Standard Time)","34632.20","34641.00","34608.85","34624.90","-0.02","-0.02","0"
"Fri Jul 30 2021 09:39:00 GMT+0530 (India Standard Time)","34624.35","34629.80","34610.45","34613.55","-0.03","-0.03","0"
"Fri Jul 30 2021 09:40:00 GMT+0530 (India Standard Time)","34617.05","34617.05","34577.20","34578.15","-0.10","-0.10","0"
"Fri Jul 30 2021 09:41:00 GMT+0530 (India Standard Time)","34575.85","34593.35","34574.60","34593.35","0.04","0.04","0"
"Fri Jul 30 2021 09:42:00 GMT+0530 (India Standard Time)","34592.40","34593.60","34580.00","34591.55","-0.01","-0.01","0"
"Fri Jul 30 2021 09:43:00 GMT+0530 (India Standard Time)","34589.05","34602.35","34579.30","34602.35","0.03","0.03","0"
"Fri Jul 30 2021 09:44:00 GMT+0530 (India Standard Time)","34602.45","34608.05","34584.65","34585.15","-0.05","-0.05","0"
"Fri Jul 30 2021 09:45:00 GMT+0530 (India Standard Time)","34587.60","34587.60","34550.25","34583.75","0","0","0"
"Fri Jul 30 2021 09:46:00 GMT+0530 (India Standard Time)","34584.90","34611.00","34584.90","34611.00","0.08","0.08","0"
"Fri Jul 30 2021 09:47:00 GMT+0530 (India Standard Time)","34609.10","34611.30","34575.15","34577.60","-0.10","-0.10","0"
"Fri Jul 30 2021 09:48:00 GMT+0530 (India Standard Time)","34576.10","34578.35","34564.75","34573.70","-0.01","-0.01","0"
"Fri Jul 30 2021 09:49:00 GMT+0530 (India Standard Time)","34575.40","34585.00","34562.05","34584.65","0.03","0.03","0"
"Fri Jul 30 2021 09:50:00 GMT+0530 (India Standard Time)","34585.90","34598.95","34572.60","34598.95","0.04","0.04","0"
"Fri Jul 30 2021 09:51:00 GMT+0530 (India Standard Time)","34598.60","34603.95","34585.20","34595.10","-0.01","-0.01","0"
"Fri Jul 30 2021 09:52:00 GMT+0530 (India Standard Time)","34597.40","34620.10","34587.65","34609.35","0.04","0.04","0"
"Fri Jul 30 2021 09:53:00 GMT+0530 (India Standard Time)","34608.80","34610.55","34599.20","34610.10","0","0","0"
"Fri Jul 30 2021 09:54:00 GMT+0530 (India Standard Time)","34607.25","34615.40","34601.40","34614.05","0.01","0.01","0"
"Fri Jul 30 2021 09:55:00 GMT+0530 (India Standard Time)","34612.65","34621.80","34603.40","34604.35","-0.03","-0.03","0"
"Fri Jul 30 2021 09:56:00 GMT+0530 (India Standard Time)","34602.65","34611.40","34592.20","34603.30","0","0","0"
"Fri Jul 30 2021 09:57:00 GMT+0530 (India Standard Time)","34602.25","34605.00","34582.70","34583.50","-0.06","-0.06","0"
"Fri Jul 30 2021 09:58:00 GMT+0530 (India Standard Time)","34584.70","34612.65","34581.10","34610.65","0.08","0.08","0"
"Fri Jul 30 2021 09:59:00 GMT+0530 (India Standard Time)","34610.45","34639.60","34610.45","34639.60","0.08","0.08","0"
"Fri Jul 30 2021 10:00:00 GMT+0530 (India Standard Time)","34636.65","34643.40","34622.85","34627.15","-0.04","-0.04","0"
"Fri Jul 30 2021 10:01:00 GMT+0530 (India Standard Time)","34626.75","34628.55","34613.95","34617.30","-0.03","-0.03","0"
"Fri Jul 30 2021 10:02:00 GMT+0530 (India Standard Time)","34615.70","34617.15","34599.90","34602.70","-0.04","-0.04","0"
"Fri Jul 30 2021 10:03:00 GMT+0530 (India Standard Time)","34599.65","34617.25","34590.20","34616.80","0.04","0.04","0"
"Fri Jul 30 2021 10:04:00 GMT+0530 (India Standard Time)","34614.25","34625.25","34614.25","34621.40","0.01","0.01","0"
"Fri Jul 30 2021 10:05:00 GMT+0530 (India Standard Time)","34620.00","34623.05","34592.85","34596.10","-0.07","-0.07","0"
"Fri Jul 30 2021 10:06:00 GMT+0530 (India Standard Time)","34594.75","34603.65","34587.70","34596.00","0","0","0"
"Fri Jul 30 2021 10:07:00 GMT+0530 (India Standard Time)","34594.15","34602.25","34588.35","34602.25","0.02","0.02","0"
"Fri Jul 30 2021 10:08:00 GMT+0530 (India Standard Time)","34601.75","34608.60","34587.00","34599.35","-0.01","-0.01","0"
"Fri Jul 30 2021 10:09:00 GMT+0530 (India Standard Time)","34599.35","34600.95","34584.95","34594.15","-0.02","-0.02","0"
"Fri Jul 30 2021 10:10:00 GMT+0530 (India Standard Time)","34591.60","34595.05","34577.80","34581.15","-0.04","-0.04","0"
"Fri Jul 30 2021 10:11:00 GMT+0530 (India Standard Time)","34579.80","34583.50","34561.80","34570.10","-0.03","-0.03","0"
"Fri Jul 30 2021 10:12:00 GMT+0530 (India Standard Time)","34569.30","34572.15","34562.90","34569.85","0","0","0"
"Fri Jul 30 2021 10:13:00 GMT+0530 (India Standard Time)","34567.75","34570.50","34564.45","34570.50","0","0","0"
"Fri Jul 30 2021 10:14:00 GMT+0530 (India Standard Time)","34569.90","34573.00","34550.00","34550.00","-0.06","-0.06","0"
"Fri Jul 30 2021 10:15:00 GMT+0530 (India Standard Time)","34551.90","34559.80","34541.45","34543.05","-0.02","-0.02","0"
"Fri Jul 30 2021 10:16:00 GMT+0530 (India Standard Time)","34543.55","34543.55","34526.00","34526.00","-0.05","-0.05","0"
"Fri Jul 30 2021 10:17:00 GMT+0530 (India Standard Time)","34524.10","34524.10","34494.85","34512.70","-0.04","-0.04","0"
"Fri Jul 30 2021 10:18:00 GMT+0530 (India Standard Time)","34509.25","34526.85","34507.80","34516.75","0.01","0.01","0"
"Fri Jul 30 2021 10:19:00 GMT+0530 (India Standard Time)","34516.90","34521.50","34515.30","34520.60","0.01","0.01","0"
"Fri Jul 30 2021 10:20:00 GMT+0530 (India Standard Time)","34525.05","34541.30","34520.90","34539.40","0.05","0.05","0"
"Fri Jul 30 2021 10:21:00 GMT+0530 (India Standard Time)","34539.50","34539.50","34519.05","34525.55","-0.04","-0.04","0"
"Fri Jul 30 2021 10:22:00 GMT+0530 (India Standard Time)","34529.50","34529.50","34516.75","34525.35","0","0","0"
"Fri Jul 30 2021 10:23:00 GMT+0530 (India Standard Time)","34527.50","34531.00","34521.90","34526.75","0","0","0"
"Fri Jul 30 2021 10:24:00 GMT+0530 (India Standard Time)","34524.75","34528.35","34514.05","34517.45","-0.03","-0.03","0"
"Fri Jul 30 2021 10:25:00 GMT+0530 (India Standard Time)","34516.05","34520.05","34510.50","34513.05","-0.01","-0.01","0"
"Fri Jul 30 2021 10:26:00 GMT+0530 (India Standard Time)","34512.30","34518.50","34507.75","34511.35","0","-0.01","0"
"Fri Jul 30 2021 10:27:00 GMT+0530 (India Standard Time)","34511.15","34511.15","34502.20","34502.20","-0.03","-0.03","0"
"Fri Jul 30 2021 10:28:00 GMT+0530 (India Standard Time)","34502.55","34510.75","34496.65","34497.05","-0.01","-0.02","0"
"Fri Jul 30 2021 10:29:00 GMT+0530 (India Standard Time)","34495.90","34514.40","34494.85","34514.40","0.05","0.05","0"
"Fri Jul 30 2021 10:30:00 GMT+0530 (India Standard Time)","34511.05","34513.00","34496.75","34504.20","-0.03","-0.03","0"
"Fri Jul 30 2021 10:31:00 GMT+0530 (India Standard Time)","34502.70","34503.70","34493.25","34501.20","-0.01","-0.01","0"
"Fri Jul 30 2021 10:32:00 GMT+0530 (India Standard Time)","34498.30","34539.70","34495.75","34537.65","0.11","0.11","0"
