"Date","Open","High","Low","Close"
"Wed Feb 23 2022 15:20:00 GMT+0530 (India Standard Time)","37336.40","37344.70","37324.80","37329.20"
"Wed Feb 23 2022 15:21:00 GMT+0530 (India Standard Time)","37321.80","37352.15","37321.80","37340.55"
"Wed Feb 23 2022 15:22:00 GMT+0530 (India Standard Time)","37340.40","37373.70","37339.10","37370.60"
"Wed Feb 23 2022 15:23:00 GMT+0530 (India Standard Time)","37367.90","37375.85","37359.15","37364.20"
"Wed Feb 23 2022 15:24:00 GMT+0530 (India Standard Time)","37362.70","37368.65","37360.75","37363.70"
"Wed Feb 23 2022 15:25:00 GMT+0530 (India Standard Time)","37367.15","37376.70","37360.45","37364.35"
"Wed Feb 23 2022 15:26:00 GMT+0530 (India Standard Time)","37360.95","37368.40","37353.80","37364.60"
"Wed Feb 23 2022 15:27:00 GMT+0530 (India Standard Time)","37364.75","37371.00","37355.50","37362.35"
"Wed Feb 23 2022 15:28:00 GMT+0530 (India Standard Time)","37355.80","37361.60","37348.60","37351.15"
"Wed Feb 23 2022 15:29:00 GMT+0530 (India Standard Time)","37359.85","37375.15","37349.90","37358.15"
"Thu Feb 24 2022 09:15:00 GMT+0530 (India Standard Time)","36085.20","36649.00","36085.20","36407.80"
"Thu Feb 24 2022 09:16:00 GMT+0530 (India Standard Time)","36389.35","36410.85","36354.95","36371.30"
"Thu Feb 24 2022 09:17:00 GMT+0530 (India Standard Time)","36371.20","36455.05","36371.20","36433.30"
"Thu Feb 24 2022 09:18:00 GMT+0530 (India Standard Time)","36431.00","36431.00","36365.25","36399.20"
"Thu Feb 24 2022 09:19:00 GMT+0530 (India Standard Time)","36408.45","36448.55","36383.30","36408.90"
"Thu Feb 24 2022 09:20:00 GMT+0530 (India Standard Time)","36405.65","36468.20","36376.55","36448.25"
"Thu Feb 24 2022 09:21:00 GMT+0530 (India Standard Time)","36457.05","36457.05","36405.35","36418.60"
"Thu Feb 24 2022 09:22:00 GMT+0530 (India Standard Time)","36419.10","36419.10","36374.10","36375.10"
"Thu Feb 24 2022 09:23:00 GMT+0530 (India Standard Time)","36378.40","36405.85","36358.70","36359.90"
"Thu Feb 24 2022 09:24:00 GMT+0530 (India Standard Time)","36362.45","36409.70","36345.50","36386.70"
"Thu Feb 24 2022 09:25:00 GMT+0530 (India Standard Time)","36382.55","36382.55","36332.65","36358.90"
"Thu Feb 24 2022 09:26:00 GMT+0530 (India Standard Time)","36364.90","36397.00","36353.80","36387.90"
"Thu Feb 24 2022 09:27:00 GMT+0530 (India Standard Time)","36388.30","36446.45","36388.30","36434.65"
"Thu Feb 24 2022 09:28:00 GMT+0530 (India Standard Time)","36436.40","36459.55","36394.60","36404.30"
"Thu Feb 24 2022 09:29:00 GMT+0530 (India Standard Time)","36399.90","36418.20","36371.30","36371.30"
"Thu Feb 24 2022 09:30:00 GMT+0530 (India Standard Time)","36371.55","36394.30","36344.50","36380.35"
"Thu Feb 24 2022 09:31:00 GMT+0530 (India Standard Time)","36379.60","36432.30","36379.60","36410.55"
"Thu Feb 24 2022 09:32:00 GMT+0530 (India Standard Time)","36411.65","36420.60","36383.50","36420.60"
"Thu Feb 24 2022 09:33:00 GMT+0530 (India Standard Time)","36420.30","36442.35","36394.00","36394.00"
"Thu Feb 24 2022 09:34:00 GMT+0530 (India Standard Time)","36395.05","36414.45","36382.50","36401.50"
"Thu Feb 24 2022 09:35:00 GMT+0530 (India Standard Time)","36406.25","36406.25","36358.20","36358.20"
"Thu Feb 24 2022 09:36:00 GMT+0530 (India Standard Time)","36354.10","36373.65","36343.75","36352.50"
"Thu Feb 24 2022 09:37:00 GMT+0530 (India Standard Time)","36353.35","36353.35","36303.00","36310.75"
"Thu Feb 24 2022 09:38:00 GMT+0530 (India Standard Time)","36311.85","36314.80","36281.70","36291.65"
"Thu Feb 24 2022 09:39:00 GMT+0530 (India Standard Time)","36297.65","36318.45","36259.60","36265.30"
"Thu Feb 24 2022 09:40:00 GMT+0530 (India Standard Time)","36272.60","36293.20","36253.60","36261.00"
"Thu Feb 24 2022 09:41:00 GMT+0530 (India Standard Time)","36248.50","36259.15","36214.10","36234.00"
"Thu Feb 24 2022 09:42:00 GMT+0530 (India Standard Time)","36238.25","36238.25","36178.50","36178.50"
"Thu Feb 24 2022 09:43:00 GMT+0530 (India Standard Time)","36173.45","36216.20","36171.95","36183.30"
"Thu Feb 24 2022 09:44:00 GMT+0530 (India Standard Time)","36175.95","36183.30","36135.90","36137.40"
"Thu Feb 24 2022 09:45:00 GMT+0530 (India Standard Time)","36127.90","36127.90","36067.35","36070.65"
"Thu Feb 24 2022 09:46:00 GMT+0530 (India Standard Time)","36074.85","36074.85","35958.90","35964.15"
"Thu Feb 24 2022 09:47:00 GMT+0530 (India Standard Time)","35967.00","36037.80","35907.35","35963.15"
"Thu Feb 24 2022 09:48:00 GMT+0530 (India Standard Time)","35958.05","35978.10","35930.35","35937.55"
"Thu Feb 24 2022 09:49:00 GMT+0530 (India Standard Time)","35937.20","35949.05","35894.05","35921.45"
"Thu Feb 24 2022 09:50:00 GMT+0530 (India Standard Time)","35914.65","36004.35","35913.80","35969.05"
"Thu Feb 24 2022 09:51:00 GMT+0530 (India Standard Time)","35963.80","36036.50","35952.35","36036.50"
"Thu Feb 24 2022 09:52:00 GMT+0530 (India Standard Time)","36040.20","36040.20","35993.80","35993.80"
"Thu Feb 24 2022 09:53:00 GMT+0530 (India Standard Time)","35983.95","36009.05","35983.95","36003.90"
"Thu Feb 24 2022 09:54:00 GMT+0530 (India Standard Time)","35999.00","35999.05","35963.90","35991.40"
"Thu Feb 24 2022 09:55:00 GMT+0530 (India Standard Time)","35985.85","36020.95","35978.55","36014.10"
"Thu Feb 24 2022 09:56:00 GMT+0530 (India Standard Time)","36016.40","36033.30","35969.65","36029.40"
"Thu Feb 24 2022 09:57:00 GMT+0530 (India Standard Time)","36023.20","36032.75","35995.05","36012.65"
"Thu Feb 24 2022 09:58:00 GMT+0530 (India Standard Time)","36013.15","36059.35","36011.50","36044.85"
"Thu Feb 24 2022 09:59:00 GMT+0530 (India Standard Time)","36036.00","36066.95","36029.60","36051.60"
"Thu Feb 24 2022 10:00:00 GMT+0530 (India Standard Time)","36046.30","36052.35","36023.05","36042.40"
"Thu Feb 24 2022 10:01:00 GMT+0530 (India Standard Time)","36037.70","36060.25","36023.20","36058.05"
"Thu Feb 24 2022 10:02:00 GMT+0530 (India Standard Time)","36064.35","36106.75","36055.75","36106.75"
"Thu Feb 24 2022 10:03:00 GMT+0530 (India Standard Time)","36103.30","36122.80","36080.10","36109.10"
"Thu Feb 24 2022 10:04:00 GMT+0530 (India Standard Time)","36115.65","36141.20","36113.00","36134.15"
"Thu Feb 24 2022 10:05:00 GMT+0530 (India Standard Time)","36132.05","36136.20","36090.55","36111.55"
"Thu Feb 24 2022 10:06:00 GMT+0530 (India Standard Time)","36112.50","36156.85","36112.50","36131.85"
"Thu Feb 24 2022 10:07:00 GMT+0530 (India Standard Time)","36128.80","36141.45","36092.50","36094.25"
"Thu Feb 24 2022 10:08:00 GMT+0530 (India Standard Time)","36093.75","36105.65","36062.70","36100.60"
"Thu Feb 24 2022 10:09:00 GMT+0530 (India Standard Time)","36104.25","36104.25","36072.50","36080.00"
"Thu Feb 24 2022 10:10:00 GMT+0530 (India Standard Time)","36081.40","36086.05","36060.55","36081.55"
"Thu Feb 24 2022 10:11:00 GMT+0530 (India Standard Time)","36081.60","36106.35","36081.60","36094.70"
"Thu Feb 24 2022 10:12:00 GMT+0530 (India Standard Time)","36091.05","36122.45","36062.50","36122.45"
"Thu Feb 24 2022 10:13:00 GMT+0530 (India Standard Time)","36130.20","36142.70","36109.55","36125.95"
"Thu Feb 24 2022 10:14:00 GMT+0530 (India Standard Time)","36125.30","36138.40","36111.85","36118.55"
"Thu Feb 24 2022 10:15:00 GMT+0530 (India Standard Time)","36124.65","36153.20","36107.60","36148.35"
"Thu Feb 24 2022 10:16:00 GMT+0530 (India Standard Time)","36145.85","36155.10","36127.05","36143.85"
"Thu Feb 24 2022 10:17:00 GMT+0530 (India Standard Time)","36143.05","36175.85","36142.25","36175.85"
"Thu Feb 24 2022 10:18:00 GMT+0530 (India Standard Time)","36171.35","36195.15","36166.80","36178.85"
"Thu Feb 24 2022 10:19:00 GMT+0530 (India Standard Time)","36177.15","36198.15","36170.50","36196.00"
"Thu Feb 24 2022 10:20:00 GMT+0530 (India Standard Time)","36198.90","36216.15","36190.20","36203.15"
"Thu Feb 24 2022 10:21:00 GMT+0530 (India Standard Time)","36204.75","36208.05","36176.75","36188.00"
"Thu Feb 24 2022 10:22:00 GMT+0530 (India Standard Time)","36190.10","36233.65","36185.10","36230.05"
"Thu Feb 24 2022 10:23:00 GMT+0530 (India Standard Time)","36230.50","36246.70","36230.50","36244.55"
"Thu Feb 24 2022 10:24:00 GMT+0530 (India Standard Time)","36250.80","36263.75","36239.05","36249.20"
"Thu Feb 24 2022 10:25:00 GMT+0530 (India Standard Time)","36246.20","36255.35","36211.25","36235.15"
"Thu Feb 24 2022 10:26:00 GMT+0530 (India Standard Time)","36229.40","36247.85","36217.55","36247.30"
"Thu Feb 24 2022 10:27:00 GMT+0530 (India Standard Time)","36247.85","36264.20","36228.30","36228.30"
"Thu Feb 24 2022 10:28:00 GMT+0530 (India Standard Time)","36224.35","36240.30","36217.45","36239.65"
"Thu Feb 24 2022 10:29:00 GMT+0530 (India Standard Time)","36239.75","36256.30","36232.95","36251.40"
"Thu Feb 24 2022 10:30:00 GMT+0530 (India Standard Time)","36245.80","36248.65","36224.00","36230.25"
"Thu Feb 24 2022 10:31:00 GMT+0530 (India Standard Time)","36229.95","36238.45","36217.35","36237.50"
"Thu Feb 24 2022 10:32:00 GMT+0530 (India Standard Time)","36239.00","36242.25","36220.10","36223.00"
"Thu Feb 24 2022 10:33:00 GMT+0530 (India Standard Time)","36224.95","36228.35","36164.45","36164.45"
"Thu Feb 24 2022 10:34:00 GMT+0530 (India Standard Time)","36167.70","36170.20","36139.20","36157.90"
"Thu Feb 24 2022 10:35:00 GMT+0530 (India Standard Time)","36160.20","36173.90","36123.65","36130.20"
"Thu Feb 24 2022 10:36:00 GMT+0530 (India Standard Time)","36135.65","36151.30","36117.10","36126.80"
"Thu Feb 24 2022 10:37:00 GMT+0530 (India Standard Time)","36122.95","36139.45","36113.55","36139.45"
"Thu Feb 24 2022 10:38:00 GMT+0530 (India Standard Time)","36137.90","36137.90","36103.35","36119.50"
"Thu Feb 24 2022 10:39:00 GMT+0530 (India Standard Time)","36116.10","36123.45","36093.15","36118.65"
"Thu Feb 24 2022 10:40:00 GMT+0530 (India Standard Time)","36112.25","36137.85","36110.00","36137.20"
"Thu Feb 24 2022 10:41:00 GMT+0530 (India Standard Time)","36135.35","36157.05","36128.40","36130.00"
"Thu Feb 24 2022 10:42:00 GMT+0530 (India Standard Time)","36127.55","36214.70","36127.55","36213.60"
"Thu Feb 24 2022 10:43:00 GMT+0530 (India Standard Time)","36211.25","36226.55","36195.45","36220.70"
"Thu Feb 24 2022 10:44:00 GMT+0530 (India Standard Time)","36224.75","36244.15","36218.60","36229.85"
"Thu Feb 24 2022 10:45:00 GMT+0530 (India Standard Time)","36230.65","36232.20","36207.80","36207.80"
"Thu Feb 24 2022 10:46:00 GMT+0530 (India Standard Time)","36207.60","36224.20","36203.65","36216.25"
"Thu Feb 24 2022 10:47:00 GMT+0530 (India Standard Time)","36218.65","36252.90","36217.05","36247.65"
"Thu Feb 24 2022 10:48:00 GMT+0530 (India Standard Time)","36243.70","36257.05","36221.55","36245.55"
"Thu Feb 24 2022 10:49:00 GMT+0530 (India Standard Time)","36242.30","36244.05","36215.30","36225.05"
"Thu Feb 24 2022 10:50:00 GMT+0530 (India Standard Time)","36223.85","36233.55","36197.40","36206.60"
"Thu Feb 24 2022 10:51:00 GMT+0530 (India Standard Time)","36202.60","36218.10","36202.10","36208.05"
"Thu Feb 24 2022 10:52:00 GMT+0530 (India Standard Time)","36202.05","36213.45","36165.40","36168.45"
