"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Fri Jan 22 2021 15:02:00 GMT+0530 (India Standard Time)","31203.20","31209.80","31149.10","31149.10","-0.19","-0.18","0"
"Fri Jan 22 2021 15:03:00 GMT+0530 (India Standard Time)","31146.65","31173.85","31121.80","31150.20","0","0.01","0"
"Fri Jan 22 2021 15:04:00 GMT+0530 (India Standard Time)","31151.10","31167.00","31135.65","31146.35","-0.01","-0.01","0"
"Fri Jan 22 2021 15:05:00 GMT+0530 (India Standard Time)","31149.15","31211.85","31148.55","31171.20","0.08","0.08","0"
"Fri Jan 22 2021 15:06:00 GMT+0530 (India Standard Time)","31171.15","31189.30","31156.85","31182.50","0.04","0.04","0"
"Fri Jan 22 2021 15:07:00 GMT+0530 (India Standard Time)","31182.10","31209.45","31179.60","31198.80","0.05","0.06","0"
"Fri Jan 22 2021 15:08:00 GMT+0530 (India Standard Time)","31199.75","31205.60","31188.60","31203.20","0.01","0.02","0"
"Fri Jan 22 2021 15:09:00 GMT+0530 (India Standard Time)","31201.30","31205.70","31176.30","31191.15","-0.04","-0.03","0"
"Fri Jan 22 2021 15:10:00 GMT+0530 (India Standard Time)","31192.75","31227.20","31192.75","31206.45","0.05","0.05","0"
"Fri Jan 22 2021 15:11:00 GMT+0530 (India Standard Time)","31203.50","31219.45","31189.15","31213.95","0.02","0.03","0"
"Fri Jan 22 2021 15:12:00 GMT+0530 (India Standard Time)","31214.25","31218.30","31185.35","31189.45","-0.08","-0.07","0"
"Fri Jan 22 2021 15:13:00 GMT+0530 (India Standard Time)","31190.30","31193.30","31162.40","31162.40","-0.09","-0.08","0"
"Fri Jan 22 2021 15:14:00 GMT+0530 (India Standard Time)","31163.50","31191.70","31162.25","31177.55","0.05","0.05","0"
"Fri Jan 22 2021 15:15:00 GMT+0530 (India Standard Time)","31176.05","31209.10","31176.05","31198.00","0.07","0.07","0"
"Fri Jan 22 2021 15:16:00 GMT+0530 (India Standard Time)","31200.55","31200.55","31180.50","31196.15","-0.01","0","0"
"Fri Jan 22 2021 15:17:00 GMT+0530 (India Standard Time)","31196.35","31199.45","31158.45","31197.50","0","0.01","0"
