"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Sep 06 2023 15:08:00 GMT+0530 (India Standard Time)","44409.25","44427.60","44404.20","44417.35","0.02","0.01","0"
"Wed Sep 06 2023 15:09:00 GMT+0530 (India Standard Time)","44413.30","44455.00","44413.30","44436.25","0.04","0.04","0"
"Wed Sep 06 2023 15:10:00 GMT+0530 (India Standard Time)","44438.80","44441.40","44417.15","44428.45","-0.02","-0.02","0"
"Wed Sep 06 2023 15:11:00 GMT+0530 (India Standard Time)","44425.85","44431.40","44401.60","44411.45","-0.04","-0.04","0"
"Wed Sep 06 2023 15:12:00 GMT+0530 (India Standard Time)","44409.35","44417.15","44401.10","44412.20","0","0","0"
"Wed Sep 06 2023 15:13:00 GMT+0530 (India Standard Time)","44410.65","44413.60","44380.40","44382.60","-0.07","-0.07","0"
"Wed Sep 06 2023 15:14:00 GMT+0530 (India Standard Time)","44380.55","44395.25","44380.55","44388.95","0.01","0.01","0"
"Wed Sep 06 2023 15:15:00 GMT+0530 (India Standard Time)","44388.00","44426.05","44388.00","44426.05","0.08","0.08","0"
"Wed Sep 06 2023 15:16:00 GMT+0530 (India Standard Time)","44429.45","44436.65","44414.90","44415.70","-0.02","-0.02","0"
"Wed Sep 06 2023 15:17:00 GMT+0530 (India Standard Time)","44415.70","44422.30","44409.00","44422.30","0.01","0.01","0"
"Wed Sep 06 2023 15:18:00 GMT+0530 (India Standard Time)","44422.80","44444.85","44421.75","44439.85","0.04","0.04","0"
"Wed Sep 06 2023 15:19:00 GMT+0530 (India Standard Time)","44438.95","44448.70","44434.35","44448.40","0.02","0.02","0"
"Wed Sep 06 2023 15:20:00 GMT+0530 (India Standard Time)","44444.45","44463.60","44444.45","44451.60","0.01","0.01","0"
"Wed Sep 06 2023 15:21:00 GMT+0530 (India Standard Time)","44451.65","44456.30","44445.35","44446.35","-0.01","-0.01","0"
