"Date","Open","High","Low","Close"
"Tue Apr 05 2022 14:59:00 GMT+0530 (India Standard Time)","38234.30","38250.30","38226.10","38250.30"
"Tue Apr 05 2022 15:00:00 GMT+0530 (India Standard Time)","38248.35","38283.95","38221.55","38283.75"
"Tue Apr 05 2022 15:01:00 GMT+0530 (India Standard Time)","38285.60","38285.60","38252.20","38266.60"
"Tue Apr 05 2022 15:02:00 GMT+0530 (India Standard Time)","38266.20","38266.20","38245.30","38249.30"
"Tue Apr 05 2022 15:03:00 GMT+0530 (India Standard Time)","38247.10","38251.25","38234.90","38236.95"
"Tue Apr 05 2022 15:04:00 GMT+0530 (India Standard Time)","38238.20","38245.10","38225.20","38245.10"
"Tue Apr 05 2022 15:05:00 GMT+0530 (India Standard Time)","38248.80","38254.90","38242.50","38253.55"
"Tue Apr 05 2022 15:06:00 GMT+0530 (India Standard Time)","38253.25","38255.80","38225.75","38230.95"
"Tue Apr 05 2022 15:07:00 GMT+0530 (India Standard Time)","38226.80","38248.95","38226.80","38241.30"
"Tue Apr 05 2022 15:08:00 GMT+0530 (India Standard Time)","38244.80","38244.80","38168.75","38168.75"
"Tue Apr 05 2022 15:09:00 GMT+0530 (India Standard Time)","38167.40","38172.85","38148.85","38159.65"
"Tue Apr 05 2022 15:10:00 GMT+0530 (India Standard Time)","38163.45","38163.45","38133.00","38133.00"
"Tue Apr 05 2022 15:11:00 GMT+0530 (India Standard Time)","38134.75","38134.75","38099.90","38102.20"
"Tue Apr 05 2022 15:12:00 GMT+0530 (India Standard Time)","38103.20","38111.55","38091.15","38102.10"
"Tue Apr 05 2022 15:13:00 GMT+0530 (India Standard Time)","38102.45","38106.65","38074.10","38077.70"
"Tue Apr 05 2022 15:14:00 GMT+0530 (India Standard Time)","38079.35","38079.35","38033.40","38035.45"
"Tue Apr 05 2022 15:15:00 GMT+0530 (India Standard Time)","38037.25","38056.10","38004.30","38056.10"
"Tue Apr 05 2022 15:16:00 GMT+0530 (India Standard Time)","38060.65","38070.20","38045.95","38048.80"
"Tue Apr 05 2022 15:17:00 GMT+0530 (India Standard Time)","38053.30","38053.45","38016.85","38016.90"
"Tue Apr 05 2022 15:18:00 GMT+0530 (India Standard Time)","38019.90","38019.90","37983.95","37987.65"
"Tue Apr 05 2022 15:19:00 GMT+0530 (India Standard Time)","37987.10","38003.95","37973.50","37984.55"
"Tue Apr 05 2022 15:20:00 GMT+0530 (India Standard Time)","37984.20","38002.85","37961.90","37974.80"
"Tue Apr 05 2022 15:21:00 GMT+0530 (India Standard Time)","37972.75","37997.50","37965.30","37993.60"
"Tue Apr 05 2022 15:22:00 GMT+0530 (India Standard Time)","37994.95","37998.80","37976.55","37986.25"
"Tue Apr 05 2022 15:23:00 GMT+0530 (India Standard Time)","37989.95","38007.10","37985.80","38004.05"
"Tue Apr 05 2022 15:24:00 GMT+0530 (India Standard Time)","38003.10","38014.75","37994.40","38006.15"
"Tue Apr 05 2022 15:25:00 GMT+0530 (India Standard Time)","38003.15","38013.75","37993.75","38002.40"
"Tue Apr 05 2022 15:26:00 GMT+0530 (India Standard Time)","38003.05","38005.20","37975.45","37983.25"
"Tue Apr 05 2022 15:27:00 GMT+0530 (India Standard Time)","37980.05","37980.05","37952.30","37957.15"
"Tue Apr 05 2022 15:28:00 GMT+0530 (India Standard Time)","37953.85","37955.80","37937.95","37951.40"
"Tue Apr 05 2022 15:29:00 GMT+0530 (India Standard Time)","37952.20","37968.00","37943.65","37968.00"
"Wed Apr 06 2022 09:15:00 GMT+0530 (India Standard Time)","37711.30","37723.10","37612.80","37650.60"
"Wed Apr 06 2022 09:16:00 GMT+0530 (India Standard Time)","37657.40","37670.45","37617.65","37618.40"
"Wed Apr 06 2022 09:17:00 GMT+0530 (India Standard Time)","37618.90","37727.40","37615.20","37705.00"
"Wed Apr 06 2022 09:18:00 GMT+0530 (India Standard Time)","37697.85","37766.40","37693.15","37761.80"
"Wed Apr 06 2022 09:19:00 GMT+0530 (India Standard Time)","37765.70","37765.70","37708.85","37715.65"
"Wed Apr 06 2022 09:20:00 GMT+0530 (India Standard Time)","37718.70","37813.90","37705.50","37813.90"
"Wed Apr 06 2022 09:21:00 GMT+0530 (India Standard Time)","37809.60","37825.05","37783.25","37802.60"
