"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Aug 10 2021 15:19:00 GMT+0530 (India Standard Time)","36022.90","36030.25","36018.55","36023.75","0","0","0"
"Tue Aug 10 2021 15:20:00 GMT+0530 (India Standard Time)","36024.45","36037.90","36021.70","36027.95","0.01","0.01","0"
"Tue Aug 10 2021 15:21:00 GMT+0530 (India Standard Time)","36027.25","36039.45","35994.55","36026.65","0","0","0"
"Tue Aug 10 2021 15:22:00 GMT+0530 (India Standard Time)","36029.10","36044.55","36023.20","36044.55","0.05","0.05","0"
"Tue Aug 10 2021 15:23:00 GMT+0530 (India Standard Time)","36045.10","36054.95","36042.45","36046.20","0","0","0"
"Tue Aug 10 2021 15:24:00 GMT+0530 (India Standard Time)","36043.85","36049.45","36042.35","36048.20","0.01","0.01","0"
"Tue Aug 10 2021 15:25:00 GMT+0530 (India Standard Time)","36046.70","36053.30","36043.45","36049.45","0","0","0"
"Tue Aug 10 2021 15:26:00 GMT+0530 (India Standard Time)","36045.80","36054.55","36042.30","36046.75","-0.01","-0.01","0"
"Tue Aug 10 2021 15:27:00 GMT+0530 (India Standard Time)","36046.95","36047.70","36034.70","36042.10","-0.01","-0.01","0"
"Tue Aug 10 2021 15:28:00 GMT+0530 (India Standard Time)","36040.90","36040.90","36016.70","36017.15","-0.07","-0.07","0"
"Tue Aug 10 2021 15:29:00 GMT+0530 (India Standard Time)","36018.65","36028.55","36002.20","36009.55","-0.02","-0.02","0"
"Wed Aug 11 2021 09:15:00 GMT+0530 (India Standard Time)","36218.25","36218.25","36107.30","36126.50","0.32","0.32","0"
"Wed Aug 11 2021 09:16:00 GMT+0530 (India Standard Time)","36125.90","36178.00","36124.70","36142.75","0.04","0.04","0"
"Wed Aug 11 2021 09:17:00 GMT+0530 (India Standard Time)","36143.10","36147.00","36102.60","36110.85","-0.09","-0.09","0"
"Wed Aug 11 2021 09:18:00 GMT+0530 (India Standard Time)","36109.85","36121.65","36087.60","36106.30","-0.01","-0.01","0"
"Wed Aug 11 2021 09:19:00 GMT+0530 (India Standard Time)","36107.00","36144.80","36077.95","36130.95","0.07","0.07","0"
