"Date","Open","High","Low","Close"
"Mon Oct 11 2021 15:17:00 GMT+0530 (India Standard Time)","38303.95","38306.25","38294.05","38301.95"
"Mon Oct 11 2021 15:18:00 GMT+0530 (India Standard Time)","38303.80","38318.60","38303.80","38315.60"
"Mon Oct 11 2021 15:19:00 GMT+0530 (India Standard Time)","38317.75","38323.40","38306.25","38323.40"
"Mon Oct 11 2021 15:20:00 GMT+0530 (India Standard Time)","38322.65","38323.85","38289.90","38299.20"
"Mon Oct 11 2021 15:21:00 GMT+0530 (India Standard Time)","38290.75","38302.90","38279.45","38291.40"
"Mon Oct 11 2021 15:22:00 GMT+0530 (India Standard Time)","38292.65","38292.65","38277.45","38278.85"
"Mon Oct 11 2021 15:23:00 GMT+0530 (India Standard Time)","38279.85","38281.65","38267.00","38267.00"
"Mon Oct 11 2021 15:24:00 GMT+0530 (India Standard Time)","38266.75","38274.85","38256.00","38265.35"
"Mon Oct 11 2021 15:25:00 GMT+0530 (India Standard Time)","38262.55","38263.25","38242.05","38262.20"
"Mon Oct 11 2021 15:26:00 GMT+0530 (India Standard Time)","38260.75","38285.15","38260.65","38283.20"
"Mon Oct 11 2021 15:27:00 GMT+0530 (India Standard Time)","38276.80","38288.50","38265.40","38285.75"
"Mon Oct 11 2021 15:28:00 GMT+0530 (India Standard Time)","38286.30","38299.35","38280.85","38291.40"
"Mon Oct 11 2021 15:29:00 GMT+0530 (India Standard Time)","38283.50","38302.65","38279.80","38290.05"
"Tue Oct 12 2021 09:15:00 GMT+0530 (India Standard Time)","38178.35","38259.15","38152.85","38253.25"
"Tue Oct 12 2021 09:16:00 GMT+0530 (India Standard Time)","38258.40","38321.85","38250.50","38320.40"
"Tue Oct 12 2021 09:17:00 GMT+0530 (India Standard Time)","38324.15","38361.40","38324.15","38340.75"
"Tue Oct 12 2021 09:18:00 GMT+0530 (India Standard Time)","38348.20","38348.95","38320.15","38329.50"
"Tue Oct 12 2021 09:19:00 GMT+0530 (India Standard Time)","38329.40","38383.00","38327.60","38378.25"
"Tue Oct 12 2021 09:20:00 GMT+0530 (India Standard Time)","38378.95","38402.50","38355.60","38359.60"
"Tue Oct 12 2021 09:21:00 GMT+0530 (India Standard Time)","38349.70","38358.40","38314.60","38345.65"
"Tue Oct 12 2021 09:22:00 GMT+0530 (India Standard Time)","38347.30","38365.20","38335.25","38362.40"
"Tue Oct 12 2021 09:23:00 GMT+0530 (India Standard Time)","38362.65","38363.75","38338.35","38346.25"
"Tue Oct 12 2021 09:24:00 GMT+0530 (India Standard Time)","38343.10","38376.15","38343.10","38368.15"
"Tue Oct 12 2021 09:25:00 GMT+0530 (India Standard Time)","38363.65","38373.35","38360.10","38367.45"
"Tue Oct 12 2021 09:26:00 GMT+0530 (India Standard Time)","38370.45","38370.45","38348.40","38356.70"
"Tue Oct 12 2021 09:27:00 GMT+0530 (India Standard Time)","38355.25","38372.80","38349.85","38372.80"
"Tue Oct 12 2021 09:28:00 GMT+0530 (India Standard Time)","38370.25","38428.65","38370.15","38417.65"
"Tue Oct 12 2021 09:29:00 GMT+0530 (India Standard Time)","38419.20","38419.20","38340.50","38345.35"
"Tue Oct 12 2021 09:30:00 GMT+0530 (India Standard Time)","38347.20","38351.05","38287.15","38287.15"
"Tue Oct 12 2021 09:31:00 GMT+0530 (India Standard Time)","38285.35","38286.45","38245.65","38246.35"
"Tue Oct 12 2021 09:32:00 GMT+0530 (India Standard Time)","38245.10","38248.55","38216.20","38237.50"
"Tue Oct 12 2021 09:33:00 GMT+0530 (India Standard Time)","38246.65","38256.35","38235.10","38247.95"
"Tue Oct 12 2021 09:34:00 GMT+0530 (India Standard Time)","38246.25","38249.60","38207.70","38218.55"
"Tue Oct 12 2021 09:35:00 GMT+0530 (India Standard Time)","38216.20","38241.40","38210.85","38240.95"
"Tue Oct 12 2021 09:36:00 GMT+0530 (India Standard Time)","38239.05","38271.70","38239.05","38266.40"
"Tue Oct 12 2021 09:37:00 GMT+0530 (India Standard Time)","38265.05","38265.05","38234.95","38245.70"
"Tue Oct 12 2021 09:38:00 GMT+0530 (India Standard Time)","38249.45","38285.60","38249.45","38278.80"
"Tue Oct 12 2021 09:39:00 GMT+0530 (India Standard Time)","38277.60","38281.05","38251.25","38257.15"
"Tue Oct 12 2021 09:40:00 GMT+0530 (India Standard Time)","38254.30","38291.95","38254.30","38272.20"
"Tue Oct 12 2021 09:41:00 GMT+0530 (India Standard Time)","38272.70","38286.30","38258.75","38271.10"
"Tue Oct 12 2021 09:42:00 GMT+0530 (India Standard Time)","38271.90","38281.70","38256.75","38270.95"
"Tue Oct 12 2021 09:43:00 GMT+0530 (India Standard Time)","38272.70","38280.85","38268.15","38275.85"
