"Date","Open","High","Low","Close"
"Tue Nov 23 2021 13:43:00 GMT+0530 (India Standard Time)","37208.05","37232.65","37208.05","37213.55"
"Tue Nov 23 2021 13:44:00 GMT+0530 (India Standard Time)","37213.40","37222.10","37203.10","37218.90"
"Tue Nov 23 2021 13:45:00 GMT+0530 (India Standard Time)","37219.35","37238.30","37219.35","37231.15"
"Tue Nov 23 2021 13:46:00 GMT+0530 (India Standard Time)","37236.25","37238.95","37206.65","37216.00"
"Tue Nov 23 2021 13:47:00 GMT+0530 (India Standard Time)","37214.35","37235.90","37214.35","37230.80"
"Tue Nov 23 2021 13:48:00 GMT+0530 (India Standard Time)","37230.10","37252.80","37230.10","37250.15"
"Tue Nov 23 2021 13:49:00 GMT+0530 (India Standard Time)","37249.50","37254.90","37241.20","37241.20"
"Tue Nov 23 2021 13:50:00 GMT+0530 (India Standard Time)","37244.40","37276.40","37244.40","37271.70"
"Tue Nov 23 2021 13:51:00 GMT+0530 (India Standard Time)","37269.75","37287.30","37269.75","37284.90"
"Tue Nov 23 2021 13:52:00 GMT+0530 (India Standard Time)","37281.70","37300.55","37279.50","37300.55"
"Tue Nov 23 2021 13:53:00 GMT+0530 (India Standard Time)","37299.70","37323.70","37299.70","37322.20"
"Tue Nov 23 2021 13:54:00 GMT+0530 (India Standard Time)","37324.10","37324.10","37300.05","37320.10"
"Tue Nov 23 2021 13:55:00 GMT+0530 (India Standard Time)","37316.20","37319.55","37303.05","37305.60"
"Tue Nov 23 2021 13:56:00 GMT+0530 (India Standard Time)","37304.10","37308.10","37287.20","37290.45"
"Tue Nov 23 2021 13:57:00 GMT+0530 (India Standard Time)","37290.95","37298.60","37271.60","37271.60"
"Tue Nov 23 2021 13:58:00 GMT+0530 (India Standard Time)","37261.30","37261.30","37220.65","37231.90"
"Tue Nov 23 2021 13:59:00 GMT+0530 (India Standard Time)","37231.55","37261.25","37231.15","37241.20"
"Tue Nov 23 2021 14:00:00 GMT+0530 (India Standard Time)","37241.20","37241.20","37173.30","37201.55"
"Tue Nov 23 2021 14:01:00 GMT+0530 (India Standard Time)","37183.95","37207.70","37160.70","37168.35"
"Tue Nov 23 2021 14:02:00 GMT+0530 (India Standard Time)","37165.15","37171.95","37152.15","37159.70"
"Tue Nov 23 2021 14:03:00 GMT+0530 (India Standard Time)","37160.10","37187.70","37140.60","37184.90"
"Tue Nov 23 2021 14:04:00 GMT+0530 (India Standard Time)","37183.65","37201.60","37178.25","37198.00"
"Tue Nov 23 2021 14:05:00 GMT+0530 (India Standard Time)","37198.75","37224.25","37198.75","37215.35"
"Tue Nov 23 2021 14:06:00 GMT+0530 (India Standard Time)","37211.90","37221.90","37196.00","37217.75"
"Tue Nov 23 2021 14:07:00 GMT+0530 (India Standard Time)","37216.70","37249.20","37216.70","37248.75"
"Tue Nov 23 2021 14:08:00 GMT+0530 (India Standard Time)","37249.10","37262.70","37246.10","37260.05"
"Tue Nov 23 2021 14:09:00 GMT+0530 (India Standard Time)","37257.25","37271.65","37253.25","37268.05"
"Tue Nov 23 2021 14:10:00 GMT+0530 (India Standard Time)","37267.85","37271.60","37256.15","37257.15"
"Tue Nov 23 2021 14:11:00 GMT+0530 (India Standard Time)","37254.80","37293.00","37241.85","37285.85"
"Tue Nov 23 2021 14:12:00 GMT+0530 (India Standard Time)","37287.10","37305.05","37285.75","37304.05"
"Tue Nov 23 2021 14:13:00 GMT+0530 (India Standard Time)","37302.30","37304.55","37295.00","37301.90"
"Tue Nov 23 2021 14:14:00 GMT+0530 (India Standard Time)","37304.00","37314.10","37301.70","37305.50"
"Tue Nov 23 2021 14:15:00 GMT+0530 (India Standard Time)","37308.65","37316.65","37301.80","37315.80"
"Tue Nov 23 2021 14:16:00 GMT+0530 (India Standard Time)","37314.30","37320.00","37285.95","37289.25"
"Tue Nov 23 2021 14:17:00 GMT+0530 (India Standard Time)","37280.50","37393.35","37280.50","37391.30"
"Tue Nov 23 2021 14:18:00 GMT+0530 (India Standard Time)","37387.35","37400.80","37381.15","37397.25"
"Tue Nov 23 2021 14:19:00 GMT+0530 (India Standard Time)","37400.10","37412.10","37389.60","37411.15"
"Tue Nov 23 2021 14:20:00 GMT+0530 (India Standard Time)","37407.75","37416.35","37400.00","37409.35"
"Tue Nov 23 2021 14:21:00 GMT+0530 (India Standard Time)","37406.60","37447.40","37406.60","37435.80"
"Tue Nov 23 2021 14:22:00 GMT+0530 (India Standard Time)","37428.45","37447.45","37422.20","37431.35"
"Tue Nov 23 2021 14:23:00 GMT+0530 (India Standard Time)","37430.90","37442.40","37404.15","37410.70"
"Tue Nov 23 2021 14:24:00 GMT+0530 (India Standard Time)","37409.70","37409.70","37383.20","37384.10"
"Tue Nov 23 2021 14:25:00 GMT+0530 (India Standard Time)","37384.20","37385.60","37351.95","37357.75"
"Tue Nov 23 2021 14:26:00 GMT+0530 (India Standard Time)","37356.55","37378.60","37346.00","37350.50"
"Tue Nov 23 2021 14:27:00 GMT+0530 (India Standard Time)","37351.90","37371.85","37342.85","37354.15"
