"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue May 17 2022 14:59:00 GMT+0530 (India Standard Time)","34304.90","34314.45","34301.55","34305.00","0","0","0"
"Tue May 17 2022 15:00:00 GMT+0530 (India Standard Time)","34307.80","34366.05","34287.70","34365.10","0.18","0.17","0"
"Tue May 17 2022 15:01:00 GMT+0530 (India Standard Time)","34359.50","34359.50","34335.00","34350.50","-0.04","-0.04","0"
"Tue May 17 2022 15:02:00 GMT+0530 (India Standard Time)","34349.35","34349.35","34322.80","34333.90","-0.05","-0.05","0"
"Tue May 17 2022 15:03:00 GMT+0530 (India Standard Time)","34332.80","34345.85","34323.65","34343.40","0.03","0.03","0"
"Tue May 17 2022 15:04:00 GMT+0530 (India Standard Time)","34342.95","34344.10","34325.15","34333.85","-0.03","-0.03","0"
"Tue May 17 2022 15:05:00 GMT+0530 (India Standard Time)","34335.75","34343.00","34321.05","34328.25","-0.02","-0.02","0"
"Tue May 17 2022 15:06:00 GMT+0530 (India Standard Time)","34324.40","34324.40","34308.90","34310.90","-0.05","-0.05","0"
"Tue May 17 2022 15:07:00 GMT+0530 (India Standard Time)","34310.95","34313.00","34297.35","34302.25","-0.03","-0.03","0"
"Tue May 17 2022 15:08:00 GMT+0530 (India Standard Time)","34295.55","34305.40","34287.65","34296.45","-0.02","-0.02","0"
"Tue May 17 2022 15:09:00 GMT+0530 (India Standard Time)","34294.70","34296.95","34261.05","34261.85","-0.10","-0.10","0"
"Tue May 17 2022 15:10:00 GMT+0530 (India Standard Time)","34258.45","34282.70","34241.55","34282.70","0.06","0.06","0"
"Tue May 17 2022 15:11:00 GMT+0530 (India Standard Time)","34285.45","34285.45","34272.40","34277.90","-0.01","-0.01","0"
"Tue May 17 2022 15:12:00 GMT+0530 (India Standard Time)","34279.40","34289.50","34267.70","34270.60","-0.02","-0.02","0"
"Tue May 17 2022 15:13:00 GMT+0530 (India Standard Time)","34268.45","34278.20","34249.75","34269.75","0","0","0"
"Tue May 17 2022 15:14:00 GMT+0530 (India Standard Time)","34265.85","34281.90","34262.50","34271.90","0.01","0.01","0"
"Tue May 17 2022 15:15:00 GMT+0530 (India Standard Time)","34274.50","34305.30","34261.15","34296.40","0.07","0.07","0"
"Tue May 17 2022 15:16:00 GMT+0530 (India Standard Time)","34293.85","34294.05","34261.95","34265.90","-0.09","-0.09","0"
"Tue May 17 2022 15:17:00 GMT+0530 (India Standard Time)","34264.90","34284.80","34264.90","34279.30","0.04","0.04","0"
"Tue May 17 2022 15:18:00 GMT+0530 (India Standard Time)","34278.85","34306.80","34276.70","34306.80","0.08","0.08","0"
"Tue May 17 2022 15:19:00 GMT+0530 (India Standard Time)","34304.50","34308.60","34291.75","34306.80","0","0","0"
"Tue May 17 2022 15:20:00 GMT+0530 (India Standard Time)","34303.90","34315.85","34293.05","34307.05","0","0","0"
"Tue May 17 2022 15:21:00 GMT+0530 (India Standard Time)","34300.15","34312.10","34293.55","34312.10","0.01","0.01","0"
"Tue May 17 2022 15:22:00 GMT+0530 (India Standard Time)","34311.65","34313.25","34293.30","34305.10","-0.02","-0.02","0"
"Tue May 17 2022 15:23:00 GMT+0530 (India Standard Time)","34305.60","34307.20","34296.10","34304.15","0","0","0"
"Tue May 17 2022 15:24:00 GMT+0530 (India Standard Time)","34304.30","34310.55","34294.55","34306.00","0.01","0.01","0"
"Tue May 17 2022 15:25:00 GMT+0530 (India Standard Time)","34305.55","34310.20","34293.60","34308.35","0.01","0.01","0"
"Tue May 17 2022 15:26:00 GMT+0530 (India Standard Time)","34307.65","34308.55","34301.60","34308.55","0","0","0"
"Tue May 17 2022 15:27:00 GMT+0530 (India Standard Time)","34307.00","34329.00","34303.05","34328.15","0.06","0.06","0"
"Tue May 17 2022 15:28:00 GMT+0530 (India Standard Time)","34324.80","34331.10","34320.00","34328.30","0","0","0"
"Tue May 17 2022 15:29:00 GMT+0530 (India Standard Time)","34328.50","34348.75","34325.60","34346.75","0.05","0.05","0"
"Wed May 18 2022 09:15:00 GMT+0530 (India Standard Time)","34448.20","34449.95","34331.15","34393.90","0.14","0.14","0"
"Wed May 18 2022 09:16:00 GMT+0530 (India Standard Time)","34396.00","34437.65","34395.35","34434.10","0.12","0.12","0"
"Wed May 18 2022 09:17:00 GMT+0530 (India Standard Time)","34433.30","34479.60","34430.95","34473.30","0.11","0.11","0"
"Wed May 18 2022 09:18:00 GMT+0530 (India Standard Time)","34477.25","34491.25","34463.95","34470.15","-0.01","-0.01","0"
"Wed May 18 2022 09:19:00 GMT+0530 (India Standard Time)","34471.85","34504.20","34470.90","34503.25","0.10","0.10","0"
"Wed May 18 2022 09:20:00 GMT+0530 (India Standard Time)","34504.20","34529.45","34499.90","34515.85","0.04","0.04","0"
"Wed May 18 2022 09:21:00 GMT+0530 (India Standard Time)","34517.80","34521.05","34483.95","34490.25","-0.07","-0.07","0"
"Wed May 18 2022 09:22:00 GMT+0530 (India Standard Time)","34488.80","34530.10","34486.10","34530.10","0.12","0.12","0"
"Wed May 18 2022 09:23:00 GMT+0530 (India Standard Time)","34528.95","34562.45","34525.10","34560.10","0.09","0.09","0"
"Wed May 18 2022 09:24:00 GMT+0530 (India Standard Time)","34558.45","34575.20","34558.45","34565.30","0.02","0.01","0"
"Wed May 18 2022 09:25:00 GMT+0530 (India Standard Time)","34572.55","34573.50","34549.00","34554.60","-0.03","-0.03","0"
"Wed May 18 2022 09:26:00 GMT+0530 (India Standard Time)","34552.80","34601.95","34549.55","34601.20","0.13","0.13","0"
"Wed May 18 2022 09:27:00 GMT+0530 (India Standard Time)","34597.25","34597.25","34571.00","34575.10","-0.08","-0.08","0"
"Wed May 18 2022 09:28:00 GMT+0530 (India Standard Time)","34574.75","34584.80","34567.20","34572.40","-0.01","-0.01","0"
"Wed May 18 2022 09:29:00 GMT+0530 (India Standard Time)","34575.35","34588.50","34555.95","34579.35","0.02","0.02","0"
"Wed May 18 2022 09:30:00 GMT+0530 (India Standard Time)","34580.60","34585.55","34572.00","34577.25","-0.01","-0.01","0"
"Wed May 18 2022 09:31:00 GMT+0530 (India Standard Time)","34570.60","34572.65","34544.50","34548.75","-0.08","-0.08","0"
"Wed May 18 2022 09:32:00 GMT+0530 (India Standard Time)","34548.45","34569.70","34529.80","34566.65","0.05","0.05","0"
"Wed May 18 2022 09:33:00 GMT+0530 (India Standard Time)","34571.30","34621.20","34563.80","34615.40","0.14","0.14","0"
"Wed May 18 2022 09:34:00 GMT+0530 (India Standard Time)","34620.60","34621.45","34585.85","34586.15","-0.08","-0.08","0"
"Wed May 18 2022 09:35:00 GMT+0530 (India Standard Time)","34583.50","34584.85","34558.55","34577.65","-0.02","-0.02","0"
"Wed May 18 2022 09:36:00 GMT+0530 (India Standard Time)","34575.80","34579.65","34544.35","34560.75","-0.05","-0.05","0"
"Wed May 18 2022 09:37:00 GMT+0530 (India Standard Time)","34560.55","34580.50","34560.55","34580.25","0.06","0.06","0"
"Wed May 18 2022 09:38:00 GMT+0530 (India Standard Time)","34581.10","34582.50","34555.60","34574.65","-0.02","-0.02","0"
