"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Oct 10 2022 14:06:00 GMT+0530 (India Standard Time)","38933.35","38935.45","38875.65","38886.75","-0.12","-0.12","0"
"Mon Oct 10 2022 14:07:00 GMT+0530 (India Standard Time)","38888.25","38912.70","38879.95","38906.60","0.05","0.05","0"
"Mon Oct 10 2022 14:08:00 GMT+0530 (India Standard Time)","38907.45","38927.65","38907.45","38914.75","0.02","0.02","0"
"Mon Oct 10 2022 14:09:00 GMT+0530 (India Standard Time)","38914.90","38916.95","38888.95","38901.85","-0.03","-0.03","0"
"Mon Oct 10 2022 14:10:00 GMT+0530 (India Standard Time)","38903.90","38911.00","38897.65","38906.30","0.01","0.01","0"
"Mon Oct 10 2022 14:11:00 GMT+0530 (India Standard Time)","38905.00","38917.60","38905.00","38908.75","0.01","0.01","0"
"Mon Oct 10 2022 14:12:00 GMT+0530 (India Standard Time)","38908.95","38908.95","38845.90","38856.45","-0.13","-0.14","0"
"Mon Oct 10 2022 14:13:00 GMT+0530 (India Standard Time)","38855.85","38872.10","38855.85","38866.30","0.03","0.02","0"
"Mon Oct 10 2022 14:14:00 GMT+0530 (India Standard Time)","38866.25","38899.10","38865.05","38888.05","0.06","0.06","0"
"Mon Oct 10 2022 14:15:00 GMT+0530 (India Standard Time)","38886.65","38909.25","38872.75","38901.30","0.03","0.03","0"
"Mon Oct 10 2022 14:16:00 GMT+0530 (India Standard Time)","38904.10","38920.55","38902.85","38913.65","0.03","0.03","0"
"Mon Oct 10 2022 14:17:00 GMT+0530 (India Standard Time)","38911.25","38943.45","38911.25","38924.35","0.03","0.03","0"
"Mon Oct 10 2022 14:18:00 GMT+0530 (India Standard Time)","38926.55","38944.75","38924.50","38944.75","0.05","0.05","0"
"Mon Oct 10 2022 14:19:00 GMT+0530 (India Standard Time)","38941.80","38955.55","38941.80","38949.85","0.01","0.01","0"
"Mon Oct 10 2022 14:20:00 GMT+0530 (India Standard Time)","38950.15","38950.15","38918.35","38924.75","-0.06","-0.07","0"
"Mon Oct 10 2022 14:21:00 GMT+0530 (India Standard Time)","38926.05","38934.30","38904.45","38934.30","0.02","0.02","0"
"Mon Oct 10 2022 14:22:00 GMT+0530 (India Standard Time)","38933.95","38943.65","38925.75","38925.75","-0.02","-0.02","0"
"Mon Oct 10 2022 14:23:00 GMT+0530 (India Standard Time)","38927.40","38932.00","38916.05","38929.95","0.01","0.01","0"
"Mon Oct 10 2022 14:24:00 GMT+0530 (India Standard Time)","38928.65","38948.70","38921.85","38948.70","0.05","0.05","0"
"Mon Oct 10 2022 14:25:00 GMT+0530 (India Standard Time)","38948.60","38948.60","38935.90","38941.40","-0.02","-0.02","0"
"Mon Oct 10 2022 14:26:00 GMT+0530 (India Standard Time)","38947.30","38955.95","38936.70","38948.45","0.02","0.02","0"
"Mon Oct 10 2022 14:27:00 GMT+0530 (India Standard Time)","38948.90","38950.45","38945.05","38945.65","-0.01","-0.01","0"
"Mon Oct 10 2022 14:28:00 GMT+0530 (India Standard Time)","38947.25","38988.85","38944.05","38988.85","0.11","0.11","0"
"Mon Oct 10 2022 14:29:00 GMT+0530 (India Standard Time)","38984.65","39019.10","38982.50","39011.10","0.06","0.06","0"
"Mon Oct 10 2022 14:30:00 GMT+0530 (India Standard Time)","39017.25","39047.00","39017.25","39047.00","0.09","0.09","0"
"Mon Oct 10 2022 14:31:00 GMT+0530 (India Standard Time)","39044.45","39072.55","39044.45","39072.55","0.07","0.06","0"
"Mon Oct 10 2022 14:32:00 GMT+0530 (India Standard Time)","39069.30","39070.05","39054.05","39054.05","-0.05","-0.05","0"
"Mon Oct 10 2022 14:33:00 GMT+0530 (India Standard Time)","39058.40","39078.80","39056.45","39063.70","0.02","0.02","0"
"Mon Oct 10 2022 14:34:00 GMT+0530 (India Standard Time)","39060.75","39067.85","39039.50","39043.35","-0.05","-0.05","0"
"Mon Oct 10 2022 14:35:00 GMT+0530 (India Standard Time)","39043.35","39045.05","39017.10","39020.55","-0.06","-0.06","0"
"Mon Oct 10 2022 14:36:00 GMT+0530 (India Standard Time)","39018.25","39058.05","39018.25","39057.20","0.09","0.09","0"
"Mon Oct 10 2022 14:37:00 GMT+0530 (India Standard Time)","39050.20","39070.00","39050.15","39060.05","0.01","0.01","0"
"Mon Oct 10 2022 14:38:00 GMT+0530 (India Standard Time)","39056.55","39056.95","39044.15","39046.25","-0.04","-0.04","0"
"Mon Oct 10 2022 14:39:00 GMT+0530 (India Standard Time)","39048.90","39051.80","39030.60","39033.05","-0.03","-0.03","0"
"Mon Oct 10 2022 14:40:00 GMT+0530 (India Standard Time)","39032.65","39035.10","38992.25","38996.25","-0.09","-0.10","0"
"Mon Oct 10 2022 14:41:00 GMT+0530 (India Standard Time)","38994.55","38996.35","38974.85","38986.35","-0.03","-0.03","0"
"Mon Oct 10 2022 14:42:00 GMT+0530 (India Standard Time)","38990.20","38995.65","38985.05","38985.05","0","0","0"
"Mon Oct 10 2022 14:43:00 GMT+0530 (India Standard Time)","38983.55","38986.65","38954.10","38966.00","-0.05","-0.05","0"
"Mon Oct 10 2022 14:44:00 GMT+0530 (India Standard Time)","38973.95","38984.60","38965.80","38976.90","0.03","0.03","0"
"Mon Oct 10 2022 14:45:00 GMT+0530 (India Standard Time)","38975.70","39006.45","38975.70","39006.45","0.08","0.07","0"
