"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Sep 15 2021 15:19:00 GMT+0530 (India Standard Time)","36879.40","36891.25","36876.05","36888.10","0.02","0.02","0"
"Wed Sep 15 2021 15:20:00 GMT+0530 (India Standard Time)","36887.95","36887.95","36870.20","36871.55","-0.04","-0.05","0"
"Wed Sep 15 2021 15:21:00 GMT+0530 (India Standard Time)","36871.10","36878.65","36853.35","36855.75","-0.04","-0.04","0"
"Wed Sep 15 2021 15:22:00 GMT+0530 (India Standard Time)","36857.45","36857.45","36843.55","36846.65","-0.02","-0.03","0"
"Wed Sep 15 2021 15:23:00 GMT+0530 (India Standard Time)","36846.70","36850.90","36842.00","36844.95","0","-0.01","0"
"Wed Sep 15 2021 15:24:00 GMT+0530 (India Standard Time)","36847.00","36848.35","36836.90","36841.45","-0.01","-0.01","0"
"Wed Sep 15 2021 15:25:00 GMT+0530 (India Standard Time)","36842.90","36847.95","36838.80","36845.35","0.01","0.01","0"
"Wed Sep 15 2021 15:26:00 GMT+0530 (India Standard Time)","36845.55","36851.15","36835.50","36850.00","0.01","0.01","0"
"Wed Sep 15 2021 15:27:00 GMT+0530 (India Standard Time)","36845.45","36861.60","36842.65","36845.80","-0.01","-0.01","0"
"Wed Sep 15 2021 15:28:00 GMT+0530 (India Standard Time)","36846.50","36848.05","36822.30","36823.40","-0.06","-0.06","0"
"Wed Sep 15 2021 15:29:00 GMT+0530 (India Standard Time)","36822.55","36862.60","36822.55","36860.95","0.10","0.10","0"
"Thu Sep 16 2021 09:15:00 GMT+0530 (India Standard Time)","36946.00","36992.70","36915.20","36988.90","0.35","0.35","0"
"Thu Sep 16 2021 09:16:00 GMT+0530 (India Standard Time)","36987.55","37019.45","36987.55","36994.60","0.02","0.01","0"
"Thu Sep 16 2021 09:17:00 GMT+0530 (India Standard Time)","36995.30","37020.00","36995.30","37009.05","0.04","0.04","0"
"Thu Sep 16 2021 09:18:00 GMT+0530 (India Standard Time)","37014.10","37030.80","37008.10","37012.70","0.01","0.01","0"
