"Date","Open","High","Low","Close"
"Fri Nov 12 2021 15:15:00 GMT+0530 (India Standard Time)","38719.95","38723.95","38710.95","38713.60"
"Fri Nov 12 2021 15:16:00 GMT+0530 (India Standard Time)","38709.90","38722.95","38708.30","38714.90"
"Fri Nov 12 2021 15:17:00 GMT+0530 (India Standard Time)","38720.95","38730.45","38718.55","38725.60"
"Fri Nov 12 2021 15:18:00 GMT+0530 (India Standard Time)","38727.05","38733.30","38716.40","38718.15"
"Fri Nov 12 2021 15:19:00 GMT+0530 (India Standard Time)","38717.75","38734.60","38717.35","38730.80"
"Fri Nov 12 2021 15:20:00 GMT+0530 (India Standard Time)","38730.70","38744.75","38730.15","38743.35"
"Fri Nov 12 2021 15:21:00 GMT+0530 (India Standard Time)","38752.20","38752.20","38721.50","38727.05"
"Fri Nov 12 2021 15:22:00 GMT+0530 (India Standard Time)","38727.05","38737.15","38724.60","38733.85"
"Fri Nov 12 2021 15:23:00 GMT+0530 (India Standard Time)","38735.35","38745.00","38732.05","38734.00"
"Fri Nov 12 2021 15:24:00 GMT+0530 (India Standard Time)","38736.85","38739.65","38723.45","38726.35"
"Fri Nov 12 2021 15:25:00 GMT+0530 (India Standard Time)","38726.00","38734.85","38721.55","38726.25"
"Fri Nov 12 2021 15:26:00 GMT+0530 (India Standard Time)","38727.45","38731.05","38722.80","38728.40"
"Fri Nov 12 2021 15:27:00 GMT+0530 (India Standard Time)","38728.05","38739.30","38721.35","38734.20"
"Fri Nov 12 2021 15:28:00 GMT+0530 (India Standard Time)","38729.45","38736.20","38723.25","38730.00"
"Fri Nov 12 2021 15:29:00 GMT+0530 (India Standard Time)","38723.20","38754.60","38722.20","38751.85"
"Mon Nov 15 2021 09:15:00 GMT+0530 (India Standard Time)","38849.45","39025.30","38849.45","39019.45"
"Mon Nov 15 2021 09:16:00 GMT+0530 (India Standard Time)","39014.00","39077.40","39014.00","39065.90"
"Mon Nov 15 2021 09:17:00 GMT+0530 (India Standard Time)","39072.00","39084.50","39062.90","39073.95"
"Mon Nov 15 2021 09:18:00 GMT+0530 (India Standard Time)","39071.70","39082.80","39058.40","39060.15"
"Mon Nov 15 2021 09:19:00 GMT+0530 (India Standard Time)","39050.65","39104.90","39045.95","39104.90"
"Mon Nov 15 2021 09:20:00 GMT+0530 (India Standard Time)","39100.25","39114.95","39097.65","39111.35"
"Mon Nov 15 2021 09:21:00 GMT+0530 (India Standard Time)","39110.30","39110.30","39057.70","39057.70"
"Mon Nov 15 2021 09:22:00 GMT+0530 (India Standard Time)","39063.85","39080.00","39060.30","39073.00"
"Mon Nov 15 2021 09:23:00 GMT+0530 (India Standard Time)","39069.95","39075.35","39053.90","39061.00"
"Mon Nov 15 2021 09:24:00 GMT+0530 (India Standard Time)","39059.50","39079.80","39054.20","39079.80"
"Mon Nov 15 2021 09:25:00 GMT+0530 (India Standard Time)","39077.65","39092.75","39076.25","39077.85"
"Mon Nov 15 2021 09:26:00 GMT+0530 (India Standard Time)","39077.80","39080.60","39062.95","39073.65"
"Mon Nov 15 2021 09:27:00 GMT+0530 (India Standard Time)","39074.00","39074.00","39041.35","39050.75"
"Mon Nov 15 2021 09:28:00 GMT+0530 (India Standard Time)","39052.65","39075.80","39049.00","39071.35"
"Mon Nov 15 2021 09:29:00 GMT+0530 (India Standard Time)","39076.70","39076.70","39024.55","39025.15"
"Mon Nov 15 2021 09:30:00 GMT+0530 (India Standard Time)","39027.05","39037.90","39013.85","39019.10"
"Mon Nov 15 2021 09:31:00 GMT+0530 (India Standard Time)","39023.95","39035.65","39015.35","39031.95"
"Mon Nov 15 2021 09:32:00 GMT+0530 (India Standard Time)","39030.40","39047.95","39020.85","39029.00"
"Mon Nov 15 2021 09:33:00 GMT+0530 (India Standard Time)","39028.25","39041.00","39020.35","39033.55"
"Mon Nov 15 2021 09:34:00 GMT+0530 (India Standard Time)","39035.60","39049.40","39031.05","39045.10"
"Mon Nov 15 2021 09:35:00 GMT+0530 (India Standard Time)","39042.55","39043.90","39018.55","39018.55"
"Mon Nov 15 2021 09:36:00 GMT+0530 (India Standard Time)","39024.85","39024.85","38994.70","38995.60"
"Mon Nov 15 2021 09:37:00 GMT+0530 (India Standard Time)","38997.50","39000.20","38988.25","38992.20"
"Mon Nov 15 2021 09:38:00 GMT+0530 (India Standard Time)","38994.10","39004.00","38983.25","38988.55"
"Mon Nov 15 2021 09:39:00 GMT+0530 (India Standard Time)","38989.50","38989.50","38968.50","38980.90"
"Mon Nov 15 2021 09:40:00 GMT+0530 (India Standard Time)","38974.65","38984.40","38967.80","38979.55"
"Mon Nov 15 2021 09:41:00 GMT+0530 (India Standard Time)","38976.35","38999.70","38976.35","38995.75"
"Mon Nov 15 2021 09:42:00 GMT+0530 (India Standard Time)","38995.45","39006.20","38989.45","39004.85"
"Mon Nov 15 2021 09:43:00 GMT+0530 (India Standard Time)","39004.10","39023.95","39003.75","39018.50"
"Mon Nov 15 2021 09:44:00 GMT+0530 (India Standard Time)","39018.65","39023.25","39003.85","39017.45"
"Mon Nov 15 2021 09:45:00 GMT+0530 (India Standard Time)","39016.80","39020.75","38992.35","39000.20"
"Mon Nov 15 2021 09:46:00 GMT+0530 (India Standard Time)","38997.30","39006.60","38992.40","39003.10"
"Mon Nov 15 2021 09:47:00 GMT+0530 (India Standard Time)","39003.15","39011.15","38998.85","39008.95"
"Mon Nov 15 2021 09:48:00 GMT+0530 (India Standard Time)","39010.05","39013.20","39002.90","39012.00"
"Mon Nov 15 2021 09:49:00 GMT+0530 (India Standard Time)","39011.70","39035.45","39011.15","39028.55"
"Mon Nov 15 2021 09:50:00 GMT+0530 (India Standard Time)","39029.55","39037.05","39009.80","39011.35"
"Mon Nov 15 2021 09:51:00 GMT+0530 (India Standard Time)","39012.75","39023.80","39007.35","39021.05"
"Mon Nov 15 2021 09:52:00 GMT+0530 (India Standard Time)","39020.60","39020.60","39000.10","39001.45"
"Mon Nov 15 2021 09:53:00 GMT+0530 (India Standard Time)","39000.35","39002.30","38986.30","38987.35"
"Mon Nov 15 2021 09:54:00 GMT+0530 (India Standard Time)","38987.35","38991.35","38909.90","38921.05"
"Mon Nov 15 2021 09:55:00 GMT+0530 (India Standard Time)","38919.00","38946.55","38893.90","38945.80"
"Mon Nov 15 2021 09:56:00 GMT+0530 (India Standard Time)","38945.00","38954.45","38934.80","38942.80"
"Mon Nov 15 2021 09:57:00 GMT+0530 (India Standard Time)","38942.10","38950.70","38937.00","38938.15"
"Mon Nov 15 2021 09:58:00 GMT+0530 (India Standard Time)","38939.75","38939.85","38931.50","38933.05"
"Mon Nov 15 2021 09:59:00 GMT+0530 (India Standard Time)","38930.70","38936.85","38911.30","38936.85"
"Mon Nov 15 2021 10:00:00 GMT+0530 (India Standard Time)","38935.35","38941.55","38933.35","38941.55"
"Mon Nov 15 2021 10:01:00 GMT+0530 (India Standard Time)","38942.95","38953.80","38940.25","38945.60"
"Mon Nov 15 2021 10:02:00 GMT+0530 (India Standard Time)","38946.65","38961.50","38944.00","38958.35"
"Mon Nov 15 2021 10:03:00 GMT+0530 (India Standard Time)","38960.45","38961.95","38953.80","38953.80"
"Mon Nov 15 2021 10:04:00 GMT+0530 (India Standard Time)","38954.90","38957.25","38916.20","38916.20"
"Mon Nov 15 2021 10:05:00 GMT+0530 (India Standard Time)","38919.05","38930.15","38888.80","38888.80"
"Mon Nov 15 2021 10:06:00 GMT+0530 (India Standard Time)","38888.40","38892.40","38872.20","38888.25"
"Mon Nov 15 2021 10:07:00 GMT+0530 (India Standard Time)","38886.20","38911.50","38884.70","38905.20"
"Mon Nov 15 2021 10:08:00 GMT+0530 (India Standard Time)","38904.20","38931.00","38903.90","38929.25"
"Mon Nov 15 2021 10:09:00 GMT+0530 (India Standard Time)","38929.70","38939.25","38929.20","38935.20"
"Mon Nov 15 2021 10:10:00 GMT+0530 (India Standard Time)","38936.00","38939.65","38928.00","38933.50"
"Mon Nov 15 2021 10:11:00 GMT+0530 (India Standard Time)","38933.30","38935.60","38924.00","38928.35"
"Mon Nov 15 2021 10:12:00 GMT+0530 (India Standard Time)","38927.10","38935.80","38925.75","38927.75"
"Mon Nov 15 2021 10:13:00 GMT+0530 (India Standard Time)","38925.45","38927.35","38903.70","38903.70"
"Mon Nov 15 2021 10:14:00 GMT+0530 (India Standard Time)","38903.10","38906.95","38883.30","38883.80"
"Mon Nov 15 2021 10:15:00 GMT+0530 (India Standard Time)","38887.80","38908.85","38886.15","38892.90"
"Mon Nov 15 2021 10:16:00 GMT+0530 (India Standard Time)","38892.95","38896.60","38874.40","38882.05"
"Mon Nov 15 2021 10:17:00 GMT+0530 (India Standard Time)","38880.00","38880.00","38865.50","38871.15"
"Mon Nov 15 2021 10:18:00 GMT+0530 (India Standard Time)","38871.35","38874.80","38860.30","38869.95"
"Mon Nov 15 2021 10:19:00 GMT+0530 (India Standard Time)","38869.75","38869.75","38848.15","38850.80"
"Mon Nov 15 2021 10:20:00 GMT+0530 (India Standard Time)","38849.05","38849.05","38814.40","38829.65"
"Mon Nov 15 2021 10:21:00 GMT+0530 (India Standard Time)","38832.25","38860.90","38830.90","38860.90"
"Mon Nov 15 2021 10:22:00 GMT+0530 (India Standard Time)","38866.60","38866.60","38833.60","38846.50"
"Mon Nov 15 2021 10:23:00 GMT+0530 (India Standard Time)","38847.90","38847.90","38827.40","38830.35"
"Mon Nov 15 2021 10:24:00 GMT+0530 (India Standard Time)","38826.95","38837.45","38814.80","38814.80"
"Mon Nov 15 2021 10:25:00 GMT+0530 (India Standard Time)","38813.10","38813.10","38763.60","38794.50"
"Mon Nov 15 2021 10:26:00 GMT+0530 (India Standard Time)","38794.50","38828.40","38791.60","38820.00"
"Mon Nov 15 2021 10:27:00 GMT+0530 (India Standard Time)","38819.55","38824.35","38806.50","38807.80"
"Mon Nov 15 2021 10:28:00 GMT+0530 (India Standard Time)","38808.65","38820.35","38804.25","38817.25"
"Mon Nov 15 2021 10:29:00 GMT+0530 (India Standard Time)","38818.70","38828.30","38811.20","38821.25"
"Mon Nov 15 2021 10:30:00 GMT+0530 (India Standard Time)","38821.40","38824.75","38811.05","38824.75"
"Mon Nov 15 2021 10:31:00 GMT+0530 (India Standard Time)","38823.85","38835.25","38823.85","38831.75"
"Mon Nov 15 2021 10:32:00 GMT+0530 (India Standard Time)","38835.00","38871.20","38835.00","38870.80"
"Mon Nov 15 2021 10:33:00 GMT+0530 (India Standard Time)","38871.05","38884.65","38871.05","38877.05"
"Mon Nov 15 2021 10:34:00 GMT+0530 (India Standard Time)","38877.75","38885.40","38875.70","38878.60"
"Mon Nov 15 2021 10:35:00 GMT+0530 (India Standard Time)","38878.20","38892.35","38872.55","38892.35"
"Mon Nov 15 2021 10:36:00 GMT+0530 (India Standard Time)","38893.25","38909.60","38887.95","38895.80"
"Mon Nov 15 2021 10:37:00 GMT+0530 (India Standard Time)","38891.05","38892.50","38876.15","38876.30"
"Mon Nov 15 2021 10:38:00 GMT+0530 (India Standard Time)","38877.85","38878.55","38870.20","38872.65"
"Mon Nov 15 2021 10:39:00 GMT+0530 (India Standard Time)","38872.10","38872.10","38862.80","38865.35"
"Mon Nov 15 2021 10:40:00 GMT+0530 (India Standard Time)","38864.90","38878.15","38864.20","38864.75"
"Mon Nov 15 2021 10:41:00 GMT+0530 (India Standard Time)","38863.15","38864.70","38824.00","38831.05"
"Mon Nov 15 2021 10:42:00 GMT+0530 (India Standard Time)","38827.65","38840.75","38820.15","38833.95"
"Mon Nov 15 2021 10:43:00 GMT+0530 (India Standard Time)","38830.05","38851.45","38825.95","38847.70"
"Mon Nov 15 2021 10:44:00 GMT+0530 (India Standard Time)","38845.25","38869.15","38835.60","38860.45"
"Mon Nov 15 2021 10:45:00 GMT+0530 (India Standard Time)","38859.90","38862.60","38837.05","38839.05"
"Mon Nov 15 2021 10:46:00 GMT+0530 (India Standard Time)","38838.30","38842.80","38829.15","38829.15"
"Mon Nov 15 2021 10:47:00 GMT+0530 (India Standard Time)","38828.40","38836.70","38818.05","38834.70"
"Mon Nov 15 2021 10:48:00 GMT+0530 (India Standard Time)","38834.25","38857.25","38832.55","38851.00"
"Mon Nov 15 2021 10:49:00 GMT+0530 (India Standard Time)","38851.70","38858.40","38840.70","38842.80"
"Mon Nov 15 2021 10:50:00 GMT+0530 (India Standard Time)","38843.70","38853.30","38832.35","38853.05"
"Mon Nov 15 2021 10:51:00 GMT+0530 (India Standard Time)","38853.90","38859.90","38847.45","38859.90"
"Mon Nov 15 2021 10:52:00 GMT+0530 (India Standard Time)","38858.95","38864.20","38857.35","38859.05"
"Mon Nov 15 2021 10:53:00 GMT+0530 (India Standard Time)","38859.15","38859.15","38839.20","38850.80"
"Mon Nov 15 2021 10:54:00 GMT+0530 (India Standard Time)","38847.50","38868.20","38847.50","38857.95"
"Mon Nov 15 2021 10:55:00 GMT+0530 (India Standard Time)","38857.30","38859.15","38843.45","38843.45"
"Mon Nov 15 2021 10:56:00 GMT+0530 (India Standard Time)","38847.65","38847.65","38836.85","38839.55"
"Mon Nov 15 2021 10:57:00 GMT+0530 (India Standard Time)","38841.90","38858.45","38839.50","38856.60"
"Mon Nov 15 2021 10:58:00 GMT+0530 (India Standard Time)","38856.00","38876.95","38854.95","38875.00"
"Mon Nov 15 2021 10:59:00 GMT+0530 (India Standard Time)","38875.65","38884.45","38872.55","38882.10"
"Mon Nov 15 2021 11:00:00 GMT+0530 (India Standard Time)","38880.90","38884.25","38856.95","38857.25"
"Mon Nov 15 2021 11:01:00 GMT+0530 (India Standard Time)","38856.45","38863.45","38845.35","38860.65"
"Mon Nov 15 2021 11:02:00 GMT+0530 (India Standard Time)","38861.15","38889.85","38861.15","38889.15"
"Mon Nov 15 2021 11:03:00 GMT+0530 (India Standard Time)","38889.05","38889.25","38869.25","38870.75"
"Mon Nov 15 2021 11:04:00 GMT+0530 (India Standard Time)","38872.05","38875.30","38851.90","38854.80"
"Mon Nov 15 2021 11:05:00 GMT+0530 (India Standard Time)","38852.40","38852.40","38838.80","38842.80"
"Mon Nov 15 2021 11:06:00 GMT+0530 (India Standard Time)","38843.30","38843.30","38838.30","38838.30"
"Mon Nov 15 2021 11:07:00 GMT+0530 (India Standard Time)","38838.40","38839.65","38822.60","38832.60"
"Mon Nov 15 2021 11:08:00 GMT+0530 (India Standard Time)","38832.35","38847.00","38828.60","38841.75"
"Mon Nov 15 2021 11:09:00 GMT+0530 (India Standard Time)","38842.20","38865.55","38842.20","38853.55"
"Mon Nov 15 2021 11:10:00 GMT+0530 (India Standard Time)","38851.15","38852.40","38823.85","38823.85"
"Mon Nov 15 2021 11:11:00 GMT+0530 (India Standard Time)","38827.60","38835.05","38825.40","38825.90"
"Mon Nov 15 2021 11:12:00 GMT+0530 (India Standard Time)","38826.05","38833.85","38824.00","38827.95"
"Mon Nov 15 2021 11:13:00 GMT+0530 (India Standard Time)","38828.35","38832.55","38824.30","38828.45"
"Mon Nov 15 2021 11:14:00 GMT+0530 (India Standard Time)","38829.30","38830.10","38823.45","38828.30"
"Mon Nov 15 2021 11:15:00 GMT+0530 (India Standard Time)","38828.60","38828.60","38807.35","38807.60"
"Mon Nov 15 2021 11:16:00 GMT+0530 (India Standard Time)","38812.15","38850.05","38810.50","38850.05"
"Mon Nov 15 2021 11:17:00 GMT+0530 (India Standard Time)","38849.20","38851.80","38839.85","38844.10"
"Mon Nov 15 2021 11:18:00 GMT+0530 (India Standard Time)","38844.95","38845.45","38836.45","38837.80"
"Mon Nov 15 2021 11:19:00 GMT+0530 (India Standard Time)","38835.90","38839.65","38823.05","38823.30"
"Mon Nov 15 2021 11:20:00 GMT+0530 (India Standard Time)","38823.95","38835.80","38818.75","38831.00"
