"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Thu Nov 02 2023 14:09:00 GMT+0530 (India Standard Time)","42941.05","42946.35","42933.40","42934.15","-0.01","-0.02","0"
"Thu Nov 02 2023 14:10:00 GMT+0530 (India Standard Time)","42934.60","42954.70","42934.00","42948.55","0.03","0.03","0"
"Thu Nov 02 2023 14:11:00 GMT+0530 (India Standard Time)","42947.60","42953.60","42938.95","42945.05","-0.01","-0.01","0"
"Thu Nov 02 2023 14:12:00 GMT+0530 (India Standard Time)","42942.75","42948.45","42933.90","42940.20","-0.01","-0.01","0"
"Thu Nov 02 2023 14:13:00 GMT+0530 (India Standard Time)","42940.40","42953.75","42937.05","42950.20","0.02","0.02","0"
"Thu Nov 02 2023 14:14:00 GMT+0530 (India Standard Time)","42951.30","42953.95","42944.70","42947.10","-0.01","-0.01","0"
"Thu Nov 02 2023 14:15:00 GMT+0530 (India Standard Time)","42946.75","42951.80","42938.55","42950.75","0.01","0.01","0"
"Thu Nov 02 2023 14:16:00 GMT+0530 (India Standard Time)","42950.80","42982.95","42944.40","42970.75","0.05","0.05","0"
"Thu Nov 02 2023 14:17:00 GMT+0530 (India Standard Time)","42969.35","42992.80","42964.15","42984.60","0.03","0.03","0"
"Thu Nov 02 2023 14:18:00 GMT+0530 (India Standard Time)","42979.95","42980.70","42962.60","42972.70","-0.03","-0.03","0"
"Thu Nov 02 2023 14:19:00 GMT+0530 (India Standard Time)","42968.50","42976.10","42957.30","42965.50","-0.02","-0.02","0"
"Thu Nov 02 2023 14:20:00 GMT+0530 (India Standard Time)","42962.45","42973.10","42958.80","42967.95","0.01","0","0"
"Thu Nov 02 2023 14:21:00 GMT+0530 (India Standard Time)","42968.90","42972.30","42958.25","42959.55","-0.02","-0.02","0"
"Thu Nov 02 2023 14:22:00 GMT+0530 (India Standard Time)","42957.90","42963.25","42939.80","42954.25","-0.01","-0.01","0"
"Thu Nov 02 2023 14:23:00 GMT+0530 (India Standard Time)","42950.60","42956.30","42938.75","42939.30","-0.03","-0.04","0"
"Thu Nov 02 2023 14:24:00 GMT+0530 (India Standard Time)","42950.20","42955.75","42934.65","42951.90","0.03","0.03","0"
"Thu Nov 02 2023 14:25:00 GMT+0530 (India Standard Time)","42950.40","42953.95","42941.50","42945.85","-0.01","-0.02","0"
"Thu Nov 02 2023 14:26:00 GMT+0530 (India Standard Time)","42943.00","42958.25","42943.00","42950.45","0.01","0.01","0"
"Thu Nov 02 2023 14:27:00 GMT+0530 (India Standard Time)","42947.75","42955.90","42937.80","42941.40","-0.02","-0.02","0"
"Thu Nov 02 2023 14:28:00 GMT+0530 (India Standard Time)","42942.55","42950.05","42917.75","42917.75","-0.06","-0.06","0"
"Thu Nov 02 2023 14:29:00 GMT+0530 (India Standard Time)","42908.40","42923.00","42907.40","42908.35","-0.02","-0.02","0"
"Thu Nov 02 2023 14:30:00 GMT+0530 (India Standard Time)","42915.00","42917.25","42896.50","42907.75","0","0","0"
"Thu Nov 02 2023 14:31:00 GMT+0530 (India Standard Time)","42906.00","42935.70","42903.25","42933.45","0.06","0.06","0"
"Thu Nov 02 2023 14:32:00 GMT+0530 (India Standard Time)","42935.30","42954.90","42929.70","42934.80","0","0","0"
"Thu Nov 02 2023 14:33:00 GMT+0530 (India Standard Time)","42936.75","42949.60","42935.45","42944.20","0.02","0.02","0"
"Thu Nov 02 2023 14:34:00 GMT+0530 (India Standard Time)","42943.70","42945.60","42929.75","42937.75","-0.02","-0.02","0"
"Thu Nov 02 2023 14:35:00 GMT+0530 (India Standard Time)","42938.95","42945.10","42926.65","42940.10","0.01","0","0"
"Thu Nov 02 2023 14:36:00 GMT+0530 (India Standard Time)","42937.60","42944.80","42927.40","42940.95","0","0","0"
"Thu Nov 02 2023 14:37:00 GMT+0530 (India Standard Time)","42941.25","42956.90","42938.10","42949.05","0.02","0.02","0"
"Thu Nov 02 2023 14:38:00 GMT+0530 (India Standard Time)","42948.60","42956.90","42947.85","42952.50","0.01","0.01","0"
"Thu Nov 02 2023 14:39:00 GMT+0530 (India Standard Time)","42953.30","42957.90","42911.00","42949.85","-0.01","-0.01","0"
"Thu Nov 02 2023 14:40:00 GMT+0530 (India Standard Time)","42949.25","42968.25","42944.90","42962.45","0.03","0.03","0"
"Thu Nov 02 2023 14:41:00 GMT+0530 (India Standard Time)","42961.00","42961.00","42943.60","42950.85","-0.03","-0.03","0"
"Thu Nov 02 2023 14:42:00 GMT+0530 (India Standard Time)","42946.25","42955.50","42940.70","42951.20","0","0","0"
"Thu Nov 02 2023 14:43:00 GMT+0530 (India Standard Time)","42952.20","42954.55","42936.30","42936.55","-0.03","-0.04","0"
