"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Jun 21 2023 15:20:00 GMT+0530 (India Standard Time)","43859.70","43859.70","43823.10","43835.80","-0.06","-0.06","0"
"Wed Jun 21 2023 15:21:00 GMT+0530 (India Standard Time)","43834.00","43847.45","43829.40","43842.20","0.01","0.01","0"
"Wed Jun 21 2023 15:22:00 GMT+0530 (India Standard Time)","43842.45","43852.95","43839.80","43851.10","0.02","0.02","0"
"Wed Jun 21 2023 15:23:00 GMT+0530 (India Standard Time)","43847.90","43848.85","43838.80","43844.85","-0.01","-0.01","0"
"Wed Jun 21 2023 15:24:00 GMT+0530 (India Standard Time)","43841.30","43850.90","43838.75","43849.75","0.01","0.01","0"
"Wed Jun 21 2023 15:25:00 GMT+0530 (India Standard Time)","43848.55","43851.15","43844.00","43849.90","0","0","0"
"Wed Jun 21 2023 15:26:00 GMT+0530 (India Standard Time)","43848.45","43856.40","43842.70","43855.05","0.01","0.01","0"
"Wed Jun 21 2023 15:27:00 GMT+0530 (India Standard Time)","43854.10","43867.85","43852.60","43863.90","0.02","0.02","0"
"Wed Jun 21 2023 15:28:00 GMT+0530 (India Standard Time)","43865.25","43871.95","43861.35","43864.35","0","0","0"
"Wed Jun 21 2023 15:29:00 GMT+0530 (India Standard Time)","43868.85","43870.15","43856.05","43863.80","0","0","0"
"Thu Jun 22 2023 09:15:00 GMT+0530 (India Standard Time)","43874.80","43894.85","43802.70","43887.40","0.05","0.05","0"
"Thu Jun 22 2023 09:16:00 GMT+0530 (India Standard Time)","43881.65","43931.05","43881.65","43896.65","0.02","0.02","0"
"Thu Jun 22 2023 09:17:00 GMT+0530 (India Standard Time)","43891.55","43913.60","43889.15","43903.15","0.01","0.01","0"
"Thu Jun 22 2023 09:18:00 GMT+0530 (India Standard Time)","43906.05","43910.20","43869.30","43870.60","-0.07","-0.07","0"
"Thu Jun 22 2023 09:19:00 GMT+0530 (India Standard Time)","43868.85","43893.50","43852.40","43887.70","0.04","0.04","0"
"Thu Jun 22 2023 09:20:00 GMT+0530 (India Standard Time)","43884.40","43889.10","43856.75","43863.80","-0.05","-0.05","0"
"Thu Jun 22 2023 09:21:00 GMT+0530 (India Standard Time)","43863.30","43896.95","43858.30","43884.00","0.05","0.05","0"
"Thu Jun 22 2023 09:22:00 GMT+0530 (India Standard Time)","43885.65","43919.05","43885.65","43915.80","0.07","0.07","0"
"Thu Jun 22 2023 09:23:00 GMT+0530 (India Standard Time)","43906.50","43912.45","43881.85","43881.85","-0.08","-0.08","0"
