"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Fri Jul 22 2022 14:19:00 GMT+0530 (India Standard Time)","36752.30","36758.55","36742.35","36745.85","-0.02","-0.02","0"
"Fri Jul 22 2022 14:20:00 GMT+0530 (India Standard Time)","36744.30","36770.55","36744.30","36769.50","0.06","0.06","0"
"Fri Jul 22 2022 14:21:00 GMT+0530 (India Standard Time)","36769.85","36777.00","36764.65","36771.80","0.01","0.01","0"
"Fri Jul 22 2022 14:22:00 GMT+0530 (India Standard Time)","36768.60","36790.50","36768.40","36789.10","0.05","0.05","0"
"Fri Jul 22 2022 14:23:00 GMT+0530 (India Standard Time)","36793.15","36796.55","36783.20","36788.25","0","0","0"
"Fri Jul 22 2022 14:24:00 GMT+0530 (India Standard Time)","36788.05","36798.75","36780.70","36798.75","0.03","0.03","0"
"Fri Jul 22 2022 14:25:00 GMT+0530 (India Standard Time)","36793.95","36801.20","36782.95","36783.45","-0.04","-0.04","0"
"Fri Jul 22 2022 14:26:00 GMT+0530 (India Standard Time)","36783.25","36804.45","36781.25","36801.25","0.05","0.05","0"
"Fri Jul 22 2022 14:27:00 GMT+0530 (India Standard Time)","36797.55","36806.60","36791.00","36792.30","-0.02","-0.03","0"
"Fri Jul 22 2022 14:28:00 GMT+0530 (India Standard Time)","36796.00","36798.80","36788.40","36792.65","0","0","0"
"Fri Jul 22 2022 14:29:00 GMT+0530 (India Standard Time)","36797.20","36797.55","36789.85","36792.70","0","0","0"
"Fri Jul 22 2022 14:30:00 GMT+0530 (India Standard Time)","36794.70","36819.55","36786.85","36818.20","0.07","0.07","0"
"Fri Jul 22 2022 14:31:00 GMT+0530 (India Standard Time)","36817.10","36823.35","36810.45","36812.95","-0.01","-0.02","0"
"Fri Jul 22 2022 14:32:00 GMT+0530 (India Standard Time)","36815.75","36818.75","36797.85","36799.15","-0.04","-0.04","0"
"Fri Jul 22 2022 14:33:00 GMT+0530 (India Standard Time)","36791.95","36791.95","36750.15","36758.10","-0.11","-0.11","0"
"Fri Jul 22 2022 14:34:00 GMT+0530 (India Standard Time)","36756.40","36759.60","36745.20","36758.95","0","0","0"
"Fri Jul 22 2022 14:35:00 GMT+0530 (India Standard Time)","36759.70","36787.75","36759.70","36780.70","0.06","0.06","0"
"Fri Jul 22 2022 14:36:00 GMT+0530 (India Standard Time)","36781.35","36789.80","36760.30","36764.65","-0.04","-0.04","0"
"Fri Jul 22 2022 14:37:00 GMT+0530 (India Standard Time)","36764.25","36766.95","36753.10","36757.85","-0.02","-0.02","0"
"Fri Jul 22 2022 14:38:00 GMT+0530 (India Standard Time)","36754.90","36763.45","36753.00","36753.60","-0.01","-0.01","0"
"Fri Jul 22 2022 14:39:00 GMT+0530 (India Standard Time)","36755.00","36756.25","36740.10","36743.75","-0.03","-0.03","0"
"Fri Jul 22 2022 14:40:00 GMT+0530 (India Standard Time)","36741.65","36744.40","36729.15","36742.60","0","0","0"
"Fri Jul 22 2022 14:41:00 GMT+0530 (India Standard Time)","36742.80","36763.15","36742.40","36758.90","0.04","0.04","0"
"Fri Jul 22 2022 14:42:00 GMT+0530 (India Standard Time)","36761.35","36767.60","36757.85","36758.65","0","0","0"
"Fri Jul 22 2022 14:43:00 GMT+0530 (India Standard Time)","36756.30","36760.75","36740.75","36755.35","-0.01","-0.01","0"
"Fri Jul 22 2022 14:44:00 GMT+0530 (India Standard Time)","36755.25","36770.70","36755.25","36758.95","0.01","0.01","0"
"Fri Jul 22 2022 14:45:00 GMT+0530 (India Standard Time)","36759.10","36766.90","36757.25","36759.70","0","0","0"
"Fri Jul 22 2022 14:46:00 GMT+0530 (India Standard Time)","36759.90","36778.70","36759.75","36774.60","0.04","0.04","0"
