"Date","Open","High","Low","Close"
"Tue Jan 25 2022 14:54:00 GMT+0530 (India Standard Time)","37705.90","37721.25","37694.25","37721.25"
"Tue Jan 25 2022 14:55:00 GMT+0530 (India Standard Time)","37717.95","37718.00","37700.65","37706.75"
"Tue Jan 25 2022 14:56:00 GMT+0530 (India Standard Time)","37709.80","37711.40","37693.80","37706.25"
"Tue Jan 25 2022 14:57:00 GMT+0530 (India Standard Time)","37707.95","37716.85","37702.40","37702.80"
"Tue Jan 25 2022 14:58:00 GMT+0530 (India Standard Time)","37703.90","37703.90","37652.30","37661.70"
"Tue Jan 25 2022 14:59:00 GMT+0530 (India Standard Time)","37664.15","37664.15","37587.70","37587.70"
"Tue Jan 25 2022 15:00:00 GMT+0530 (India Standard Time)","37590.70","37660.55","37590.70","37650.90"
"Tue Jan 25 2022 15:01:00 GMT+0530 (India Standard Time)","37651.85","37652.85","37603.50","37607.20"
"Tue Jan 25 2022 15:02:00 GMT+0530 (India Standard Time)","37607.10","37609.05","37583.70","37589.70"
"Tue Jan 25 2022 15:03:00 GMT+0530 (India Standard Time)","37588.10","37589.55","37573.05","37584.40"
"Tue Jan 25 2022 15:04:00 GMT+0530 (India Standard Time)","37583.60","37607.20","37583.60","37607.20"
"Tue Jan 25 2022 15:05:00 GMT+0530 (India Standard Time)","37605.10","37681.55","37605.10","37681.55"
"Tue Jan 25 2022 15:06:00 GMT+0530 (India Standard Time)","37677.05","37692.40","37648.85","37648.85"
"Tue Jan 25 2022 15:07:00 GMT+0530 (India Standard Time)","37650.45","37658.60","37634.20","37644.15"
"Tue Jan 25 2022 15:08:00 GMT+0530 (India Standard Time)","37643.45","37662.15","37643.45","37656.00"
"Tue Jan 25 2022 15:09:00 GMT+0530 (India Standard Time)","37651.60","37669.30","37651.60","37669.30"
"Tue Jan 25 2022 15:10:00 GMT+0530 (India Standard Time)","37669.65","37679.60","37660.00","37677.15"
"Tue Jan 25 2022 15:11:00 GMT+0530 (India Standard Time)","37673.30","37694.80","37673.30","37689.05"
"Tue Jan 25 2022 15:12:00 GMT+0530 (India Standard Time)","37694.60","37699.95","37682.55","37693.05"
"Tue Jan 25 2022 15:13:00 GMT+0530 (India Standard Time)","37689.00","37698.05","37684.30","37698.05"
"Tue Jan 25 2022 15:14:00 GMT+0530 (India Standard Time)","37694.10","37715.95","37693.10","37714.45"
"Tue Jan 25 2022 15:15:00 GMT+0530 (India Standard Time)","37714.50","37744.20","37714.50","37742.15"
"Tue Jan 25 2022 15:16:00 GMT+0530 (India Standard Time)","37738.55","37772.30","37734.15","37771.95"
"Tue Jan 25 2022 15:17:00 GMT+0530 (India Standard Time)","37769.55","37783.00","37765.95","37778.45"
"Tue Jan 25 2022 15:18:00 GMT+0530 (India Standard Time)","37781.25","37786.65","37756.55","37760.30"
"Tue Jan 25 2022 15:19:00 GMT+0530 (India Standard Time)","37759.75","37774.05","37751.00","37751.95"
"Tue Jan 25 2022 15:20:00 GMT+0530 (India Standard Time)","37750.95","37765.85","37728.20","37759.30"
"Tue Jan 25 2022 15:21:00 GMT+0530 (India Standard Time)","37770.75","37773.35","37733.75","37736.10"
"Tue Jan 25 2022 15:22:00 GMT+0530 (India Standard Time)","37741.85","37747.90","37733.45","37742.00"
"Tue Jan 25 2022 15:23:00 GMT+0530 (India Standard Time)","37746.70","37746.70","37715.30","37723.25"
"Tue Jan 25 2022 15:24:00 GMT+0530 (India Standard Time)","37719.75","37731.35","37712.15","37728.90"
"Tue Jan 25 2022 15:25:00 GMT+0530 (India Standard Time)","37726.05","37769.80","37721.25","37769.45"
"Tue Jan 25 2022 15:26:00 GMT+0530 (India Standard Time)","37765.60","37774.70","37738.85","37740.15"
"Tue Jan 25 2022 15:27:00 GMT+0530 (India Standard Time)","37747.85","37750.05","37729.15","37735.35"
"Tue Jan 25 2022 15:28:00 GMT+0530 (India Standard Time)","37735.40","37742.50","37724.05","37740.50"
"Tue Jan 25 2022 15:29:00 GMT+0530 (India Standard Time)","37736.65","37742.30","37703.95","37714.00"
"Thu Jan 27 2022 09:15:00 GMT+0530 (India Standard Time)","37058.20","37261.05","37052.65","37151.10"
"Thu Jan 27 2022 09:16:00 GMT+0530 (India Standard Time)","37139.60","37148.55","37086.70","37086.90"
"Thu Jan 27 2022 09:17:00 GMT+0530 (India Standard Time)","37080.00","37167.15","37070.40","37156.40"
"Thu Jan 27 2022 09:18:00 GMT+0530 (India Standard Time)","37152.80","37156.65","37106.80","37119.00"
"Thu Jan 27 2022 09:19:00 GMT+0530 (India Standard Time)","37123.00","37137.65","37085.30","37096.90"
"Thu Jan 27 2022 09:20:00 GMT+0530 (India Standard Time)","37112.60","37173.40","37084.50","37141.00"
"Thu Jan 27 2022 09:21:00 GMT+0530 (India Standard Time)","37145.60","37204.70","37141.15","37195.65"
"Thu Jan 27 2022 09:22:00 GMT+0530 (India Standard Time)","37194.85","37258.60","37194.85","37238.50"
"Thu Jan 27 2022 09:23:00 GMT+0530 (India Standard Time)","37226.85","37289.55","37216.85","37281.15"
"Thu Jan 27 2022 09:24:00 GMT+0530 (India Standard Time)","37282.20","37367.20","37267.10","37351.35"
