"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Jan 18 2022 14:25:00 GMT+0530 (India Standard Time)","38747.65","38771.20","38715.45","38733.80","-0.03","-0.03","0"
"Tue Jan 18 2022 14:30:00 GMT+0530 (India Standard Time)","38734.35","38737.10","38690.45","38723.15","-0.03","-0.03","0"
"Tue Jan 18 2022 14:35:00 GMT+0530 (India Standard Time)","38721.10","38725.05","38609.50","38612.85","-0.28","-0.28","0"
"Tue Jan 18 2022 14:40:00 GMT+0530 (India Standard Time)","38616.30","38654.60","38575.00","38616.50","0.01","0.01","0"
"Tue Jan 18 2022 14:45:00 GMT+0530 (India Standard Time)","38613.55","38613.55","38542.50","38553.60","-0.16","-0.16","0"
"Tue Jan 18 2022 14:50:00 GMT+0530 (India Standard Time)","38552.05","38574.65","38416.40","38483.70","-0.18","-0.18","0"
"Tue Jan 18 2022 14:55:00 GMT+0530 (India Standard Time)","38481.80","38487.30","38378.30","38386.90","-0.25","-0.25","0"
"Tue Jan 18 2022 15:00:00 GMT+0530 (India Standard Time)","38390.45","38401.15","38269.80","38316.70","-0.18","-0.18","0"
"Tue Jan 18 2022 15:05:00 GMT+0530 (India Standard Time)","38312.30","38321.40","38138.25","38209.30","-0.28","-0.28","0"
"Tue Jan 18 2022 15:10:00 GMT+0530 (India Standard Time)","38213.35","38213.35","38095.40","38164.15","-0.12","-0.12","0"
"Tue Jan 18 2022 15:15:00 GMT+0530 (India Standard Time)","38162.25","38218.55","38132.05","38216.90","0.14","0.14","0"
"Tue Jan 18 2022 15:20:00 GMT+0530 (India Standard Time)","38214.35","38243.65","38173.85","38225.60","0.02","0.02","0"
"Tue Jan 18 2022 15:25:00 GMT+0530 (India Standard Time)","38223.60","38242.20","38200.35","38214.80","-0.03","-0.03","0"
"Wed Jan 19 2022 09:15:00 GMT+0530 (India Standard Time)","38145.75","38145.75","37905.00","37995.40","-0.57","-0.57","0"
"Wed Jan 19 2022 09:20:00 GMT+0530 (India Standard Time)","38006.95","38130.50","37959.80","38069.20","0.19","0.20","0"
"Wed Jan 19 2022 09:25:00 GMT+0530 (India Standard Time)","38057.90","38170.55","38057.90","38139.55","0.18","0.19","0"
"Wed Jan 19 2022 09:30:00 GMT+0530 (India Standard Time)","38141.10","38157.05","38039.60","38051.65","-0.23","-0.23","0"
"Wed Jan 19 2022 09:35:00 GMT+0530 (India Standard Time)","38050.90","38055.10","37941.30","37970.60","-0.21","-0.21","0"
"Wed Jan 19 2022 09:40:00 GMT+0530 (India Standard Time)","37961.95","38052.60","37941.85","37960.00","-0.03","-0.03","0"
"Wed Jan 19 2022 09:45:00 GMT+0530 (India Standard Time)","37960.40","38078.00","37955.30","38068.65","0.29","0.29","0"
"Wed Jan 19 2022 09:50:00 GMT+0530 (India Standard Time)","38067.40","38085.60","38045.10","38067.55","0","0","0"
"Wed Jan 19 2022 09:55:00 GMT+0530 (India Standard Time)","38065.75","38163.30","38065.25","38156.95","0.23","0.24","0"
"Wed Jan 19 2022 10:00:00 GMT+0530 (India Standard Time)","38157.15","38167.80","38096.45","38154.90","-0.01","0","0"
"Wed Jan 19 2022 10:05:00 GMT+0530 (India Standard Time)","38152.00","38170.00","38112.15","38147.80","-0.02","-0.02","0"
"Wed Jan 19 2022 10:10:00 GMT+0530 (India Standard Time)","38149.65","38163.40","38117.25","38160.00","0.03","0.03","0"
"Wed Jan 19 2022 10:15:00 GMT+0530 (India Standard Time)","38165.65","38328.00","38165.65","38283.20","0.32","0.32","0"
"Wed Jan 19 2022 10:20:00 GMT+0530 (India Standard Time)","38290.05","38305.15","38171.00","38171.00","-0.29","-0.29","0"
"Wed Jan 19 2022 10:25:00 GMT+0530 (India Standard Time)","38173.15","38197.10","38132.00","38177.75","0.02","0.02","0"
"Wed Jan 19 2022 10:30:00 GMT+0530 (India Standard Time)","38177.45","38203.35","38147.15","38149.15","-0.07","-0.07","0"
"Wed Jan 19 2022 10:35:00 GMT+0530 (India Standard Time)","38147.65","38162.70","38139.05","38161.45","0.03","0.03","0"
"Wed Jan 19 2022 10:40:00 GMT+0530 (India Standard Time)","38160.55","38214.45","38154.65","38173.90","0.03","0.03","0"
"Wed Jan 19 2022 10:45:00 GMT+0530 (India Standard Time)","38173.60","38196.00","38096.45","38110.65","-0.17","-0.16","0"
"Wed Jan 19 2022 10:50:00 GMT+0530 (India Standard Time)","38105.95","38108.80","38053.05","38058.05","-0.14","-0.14","0"
"Wed Jan 19 2022 10:55:00 GMT+0530 (India Standard Time)","38056.90","38076.50","38023.90","38036.80","-0.06","-0.05","0"
"Wed Jan 19 2022 11:00:00 GMT+0530 (India Standard Time)","38036.90","38074.15","38024.65","38046.30","0.02","0.03","0"
"Wed Jan 19 2022 11:05:00 GMT+0530 (India Standard Time)","38044.90","38101.70","38034.55","38095.90","0.13","0.13","0"
"Wed Jan 19 2022 11:10:00 GMT+0530 (India Standard Time)","38088.75","38111.35","38069.50","38083.30","-0.03","-0.03","0"
"Wed Jan 19 2022 11:15:00 GMT+0530 (India Standard Time)","38080.50","38082.00","37994.75","37994.75","-0.23","-0.23","0"
"Wed Jan 19 2022 11:20:00 GMT+0530 (India Standard Time)","37994.55","38026.10","37975.65","38014.60","0.05","0.05","0"
"Wed Jan 19 2022 11:25:00 GMT+0530 (India Standard Time)","38020.15","38097.75","38016.50","38092.00","0.20","0.20","0"
"Wed Jan 19 2022 11:30:00 GMT+0530 (India Standard Time)","38089.60","38131.40","38047.10","38131.40","0.10","0.10","0"
"Wed Jan 19 2022 11:35:00 GMT+0530 (India Standard Time)","38128.95","38139.15","38103.60","38114.75","-0.04","-0.04","0"
"Wed Jan 19 2022 11:40:00 GMT+0530 (India Standard Time)","38115.70","38130.10","38099.35","38103.65","-0.03","-0.03","0"
"Wed Jan 19 2022 11:45:00 GMT+0530 (India Standard Time)","38104.55","38150.80","38078.10","38138.55","0.09","0.09","0"
"Wed Jan 19 2022 11:50:00 GMT+0530 (India Standard Time)","38138.15","38152.35","38109.75","38112.25","-0.07","-0.07","0"
"Wed Jan 19 2022 11:55:00 GMT+0530 (India Standard Time)","38111.30","38113.50","38072.05","38081.75","-0.08","-0.08","0"
"Wed Jan 19 2022 12:00:00 GMT+0530 (India Standard Time)","38082.20","38122.30","38064.65","38072.95","-0.02","-0.02","0"
"Wed Jan 19 2022 12:05:00 GMT+0530 (India Standard Time)","38075.10","38076.70","38016.60","38018.55","-0.14","-0.14","0"
"Wed Jan 19 2022 12:10:00 GMT+0530 (India Standard Time)","38019.10","38026.80","37984.60","37986.35","-0.08","-0.08","0"
