"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Apr 25 2023 13:25:00 GMT+0530 (India Standard Time)","42744.75","42768.35","42736.55","42761.05","0.03","0.03","0"
"Tue Apr 25 2023 13:30:00 GMT+0530 (India Standard Time)","42759.85","42773.75","42739.90","42770.35","0.02","0.02","0"
"Tue Apr 25 2023 13:35:00 GMT+0530 (India Standard Time)","42770.05","42797.90","42768.40","42792.65","0.05","0.05","0"
"Tue Apr 25 2023 13:40:00 GMT+0530 (India Standard Time)","42793.95","42805.45","42767.35","42802.20","0.02","0.02","0"
"Tue Apr 25 2023 13:45:00 GMT+0530 (India Standard Time)","42802.35","42814.05","42788.80","42800.85","0","-0.01","0"
"Tue Apr 25 2023 13:50:00 GMT+0530 (India Standard Time)","42800.65","42803.75","42719.90","42723.95","-0.18","-0.18","0"
"Tue Apr 25 2023 13:55:00 GMT+0530 (India Standard Time)","42722.85","42755.35","42710.65","42740.80","0.04","0.04","0"
"Tue Apr 25 2023 14:00:00 GMT+0530 (India Standard Time)","42740.35","42747.95","42706.35","42745.15","0.01","0.01","0"
"Tue Apr 25 2023 14:05:00 GMT+0530 (India Standard Time)","42745.70","42786.45","42733.10","42786.45","0.10","0.09","0"
"Tue Apr 25 2023 14:10:00 GMT+0530 (India Standard Time)","42780.60","42800.40","42771.85","42799.95","0.03","0.03","0"
"Tue Apr 25 2023 14:15:00 GMT+0530 (India Standard Time)","42798.75","42809.20","42783.60","42783.60","-0.04","-0.04","0"
"Tue Apr 25 2023 14:20:00 GMT+0530 (India Standard Time)","42787.65","42811.50","42757.55","42788.65","0.01","0.01","0"
"Tue Apr 25 2023 14:25:00 GMT+0530 (India Standard Time)","42788.60","42799.25","42772.80","42778.55","-0.02","-0.03","0"
"Tue Apr 25 2023 14:30:00 GMT+0530 (India Standard Time)","42780.60","42803.40","42771.85","42787.25","0.02","0.02","0"
"Tue Apr 25 2023 14:35:00 GMT+0530 (India Standard Time)","42794.80","42824.15","42780.80","42819.85","0.08","0.07","0"
"Tue Apr 25 2023 14:40:00 GMT+0530 (India Standard Time)","42820.65","42827.75","42783.40","42787.05","-0.08","-0.08","0"
"Tue Apr 25 2023 14:45:00 GMT+0530 (India Standard Time)","42787.30","42825.85","42768.30","42768.30","-0.04","-0.05","0"
"Tue Apr 25 2023 14:50:00 GMT+0530 (India Standard Time)","42767.05","42800.15","42758.65","42779.20","0.03","0.02","0"
