"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Fri Nov 17 2023 14:30:00 GMT+0530 (India Standard Time)","43657.60","43660.00","43623.35","43626.15","-0.07","-0.08","0"
"Fri Nov 17 2023 14:35:00 GMT+0530 (India Standard Time)","43626.50","43635.20","43615.90","43620.40","-0.01","-0.02","0"
"Fri Nov 17 2023 14:40:00 GMT+0530 (India Standard Time)","43620.90","43653.90","43601.55","43651.00","0.07","0.06","0"
"Fri Nov 17 2023 14:45:00 GMT+0530 (India Standard Time)","43653.85","43656.05","43613.05","43617.30","-0.08","-0.08","0"
"Fri Nov 17 2023 14:50:00 GMT+0530 (India Standard Time)","43613.20","43614.35","43564.15","43583.25","-0.08","-0.09","0"
"Fri Nov 17 2023 14:55:00 GMT+0530 (India Standard Time)","43584.30","43618.50","43581.85","43591.95","0.02","0.01","0"
"Fri Nov 17 2023 15:00:00 GMT+0530 (India Standard Time)","43586.95","43635.40","43586.30","43618.80","0.06","0.05","0"
"Fri Nov 17 2023 15:05:00 GMT+0530 (India Standard Time)","43620.45","43632.45","43609.30","43620.80","0","0","0"
"Fri Nov 17 2023 15:10:00 GMT+0530 (India Standard Time)","43626.85","43626.85","43591.20","43606.25","-0.03","-0.04","0"
"Fri Nov 17 2023 15:15:00 GMT+0530 (India Standard Time)","43606.10","43625.20","43546.10","43562.10","-0.10","-0.11","0"
"Fri Nov 17 2023 15:20:00 GMT+0530 (India Standard Time)","43567.35","43580.40","43535.30","43537.85","-0.06","-0.06","0"
"Fri Nov 17 2023 15:25:00 GMT+0530 (India Standard Time)","43540.10","43553.55","43513.85","43545.35","0.02","0.01","0"
"Mon Nov 20 2023 09:15:00 GMT+0530 (India Standard Time)","43591.50","43618.80","43450.05","43571.70","0.06","0.05","0"
"Mon Nov 20 2023 09:20:00 GMT+0530 (India Standard Time)","43573.05","43604.85","43516.45","43519.85","-0.12","-0.13","0"
"Mon Nov 20 2023 09:25:00 GMT+0530 (India Standard Time)","43520.25","43553.50","43498.50","43550.75","0.07","0.06","0"
"Mon Nov 20 2023 09:30:00 GMT+0530 (India Standard Time)","43551.40","43551.40","43484.70","43491.25","-0.14","-0.14","0"
"Mon Nov 20 2023 09:35:00 GMT+0530 (India Standard Time)","43491.60","43502.55","43455.75","43496.60","0.01","0","0"
"Mon Nov 20 2023 09:40:00 GMT+0530 (India Standard Time)","43497.10","43500.70","43470.05","43476.75","-0.05","-0.05","0"
"Mon Nov 20 2023 09:45:00 GMT+0530 (India Standard Time)","43478.50","43493.10","43466.05","43487.05","0.02","0.02","0"
"Mon Nov 20 2023 09:50:00 GMT+0530 (India Standard Time)","43488.80","43521.95","43487.60","43493.25","0.01","0.01","0"
"Mon Nov 20 2023 09:55:00 GMT+0530 (India Standard Time)","43490.95","43519.60","43479.75","43505.45","0.03","0.02","0"
"Mon Nov 20 2023 10:00:00 GMT+0530 (India Standard Time)","43509.05","43528.80","43501.85","43502.80","-0.01","-0.01","0"
"Mon Nov 20 2023 10:05:00 GMT+0530 (India Standard Time)","43502.55","43537.55","43502.45","43512.85","0.02","0.02","0"
"Mon Nov 20 2023 10:10:00 GMT+0530 (India Standard Time)","43512.75","43535.50","43509.15","43531.00","0.04","0.03","0"
"Mon Nov 20 2023 10:15:00 GMT+0530 (India Standard Time)","43535.80","43619.70","43526.15","43617.40","0.20","0.19","0"
"Mon Nov 20 2023 10:20:00 GMT+0530 (India Standard Time)","43620.10","43702.40","43605.15","43700.20","0.19","0.18","0"
"Mon Nov 20 2023 10:25:00 GMT+0530 (India Standard Time)","43702.60","43717.50","43667.00","43716.90","0.04","0.03","0"
"Mon Nov 20 2023 10:30:00 GMT+0530 (India Standard Time)","43720.70","43724.00","43677.60","43687.55","-0.07","-0.07","0"
"Mon Nov 20 2023 10:35:00 GMT+0530 (India Standard Time)","43685.75","43704.05","43671.55","43689.15","0","0","0"
"Mon Nov 20 2023 10:40:00 GMT+0530 (India Standard Time)","43689.85","43695.55","43661.25","43670.55","-0.04","-0.05","0"
"Mon Nov 20 2023 10:45:00 GMT+0530 (India Standard Time)","43670.65","43694.35","43667.95","43690.80","0.05","0.04","0"
"Mon Nov 20 2023 10:50:00 GMT+0530 (India Standard Time)","43690.95","43701.05","43675.55","43678.90","-0.03","-0.03","0"
"Mon Nov 20 2023 10:55:00 GMT+0530 (India Standard Time)","43678.85","43718.15","43671.35","43714.70","0.08","0.07","0"
"Mon Nov 20 2023 11:00:00 GMT+0530 (India Standard Time)","43717.15","43720.80","43647.65","43647.65","-0.15","-0.16","0"
"Mon Nov 20 2023 11:05:00 GMT+0530 (India Standard Time)","43647.80","43661.45","43574.55","43574.55","-0.17","-0.17","0"
"Mon Nov 20 2023 11:10:00 GMT+0530 (India Standard Time)","43572.35","43584.85","43525.55","43529.00","-0.10","-0.11","0"
"Mon Nov 20 2023 11:15:00 GMT+0530 (India Standard Time)","43526.45","43554.45","43507.20","43535.95","0.02","0.01","0"
"Mon Nov 20 2023 11:20:00 GMT+0530 (India Standard Time)","43537.30","43554.65","43518.40","43523.15","-0.03","-0.04","0"
"Mon Nov 20 2023 11:25:00 GMT+0530 (India Standard Time)","43519.10","43545.25","43518.85","43544.30","0.05","0.04","0"
"Mon Nov 20 2023 11:30:00 GMT+0530 (India Standard Time)","43543.00","43556.60","43534.80","43542.25","0","-0.01","0"
"Mon Nov 20 2023 11:35:00 GMT+0530 (India Standard Time)","43541.00","43552.40","43522.65","43549.45","0.02","0.01","0"
"Mon Nov 20 2023 11:40:00 GMT+0530 (India Standard Time)","43550.30","43565.75","43515.50","43563.20","0.03","0.02","0"
"Mon Nov 20 2023 11:45:00 GMT+0530 (India Standard Time)","43563.40","43574.15","43552.75","43564.95","0","0","0"
"Mon Nov 20 2023 11:50:00 GMT+0530 (India Standard Time)","43564.00","43566.20","43544.00","43560.25","-0.01","-0.02","0"
"Mon Nov 20 2023 11:55:00 GMT+0530 (India Standard Time)","43561.20","43565.95","43546.95","43553.50","-0.02","-0.02","0"
"Mon Nov 20 2023 12:00:00 GMT+0530 (India Standard Time)","43553.65","43578.10","43541.15","43578.10","0.06","0.05","0"
"Mon Nov 20 2023 12:05:00 GMT+0530 (India Standard Time)","43576.00","43619.25","43571.75","43616.00","0.09","0.08","0"
"Mon Nov 20 2023 12:10:00 GMT+0530 (India Standard Time)","43615.75","43615.85","43592.05","43601.75","-0.03","-0.04","0"
"Mon Nov 20 2023 12:15:00 GMT+0530 (India Standard Time)","43601.10","43621.60","43575.95","43586.10","-0.04","-0.04","0"
"Mon Nov 20 2023 12:20:00 GMT+0530 (India Standard Time)","43583.75","43634.60","43579.10","43622.50","0.08","0.08","0"
"Mon Nov 20 2023 12:25:00 GMT+0530 (India Standard Time)","43632.10","43632.10","43609.00","43616.70","-0.01","-0.02","0"
"Mon Nov 20 2023 12:30:00 GMT+0530 (India Standard Time)","43619.25","43631.40","43603.75","43615.10","0","-0.01","0"
"Mon Nov 20 2023 12:35:00 GMT+0530 (India Standard Time)","43616.60","43620.15","43598.45","43615.75","0","-0.01","0"
"Mon Nov 20 2023 12:40:00 GMT+0530 (India Standard Time)","43615.90","43633.45","43606.35","43627.75","0.03","0.02","0"
"Mon Nov 20 2023 12:45:00 GMT+0530 (India Standard Time)","43622.65","43647.00","43612.60","43645.55","0.04","0.03","0"
"Mon Nov 20 2023 12:50:00 GMT+0530 (India Standard Time)","43639.50","43669.35","43635.60","43654.10","0.02","0.01","0"
"Mon Nov 20 2023 12:55:00 GMT+0530 (India Standard Time)","43649.40","43654.90","43616.35","43621.60","-0.07","-0.08","0"
"Mon Nov 20 2023 13:00:00 GMT+0530 (India Standard Time)","43621.45","43643.95","43618.25","43640.90","0.04","0.04","0"
"Mon Nov 20 2023 13:05:00 GMT+0530 (India Standard Time)","43643.80","43680.55","43632.80","43674.75","0.08","0.07","0"
"Mon Nov 20 2023 13:10:00 GMT+0530 (India Standard Time)","43675.20","43678.80","43646.85","43655.35","-0.04","-0.05","0"
"Mon Nov 20 2023 13:15:00 GMT+0530 (India Standard Time)","43655.65","43678.55","43643.80","43661.30","0.01","0.01","0"
"Mon Nov 20 2023 13:20:00 GMT+0530 (India Standard Time)","43660.20","43670.40","43649.05","43653.30","-0.02","-0.03","0"
"Mon Nov 20 2023 13:25:00 GMT+0530 (India Standard Time)","43644.65","43682.35","43644.65","43673.60","0.05","0.04","0"
"Mon Nov 20 2023 13:30:00 GMT+0530 (India Standard Time)","43671.10","43680.35","43632.35","43632.60","-0.09","-0.10","0"
"Mon Nov 20 2023 13:35:00 GMT+0530 (India Standard Time)","43634.30","43650.70","43620.50","43633.20","0","-0.01","0"
