"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Sep 02 2024 13:20:00 GMT+0530 (India Standard Time)","51340.45","51346.65","51316.95","51327.20","-0.03","-0.03","0"
"Mon Sep 02 2024 13:25:00 GMT+0530 (India Standard Time)","51327.25","51341.35","51308.15","51335.90","0.02","0.02","0"
"Mon Sep 02 2024 13:30:00 GMT+0530 (India Standard Time)","51329.75","51355.30","51316.90","51322.30","-0.03","-0.03","0"
"Mon Sep 02 2024 13:35:00 GMT+0530 (India Standard Time)","51325.30","51331.85","51308.15","51314.05","-0.02","-0.02","0"
"Mon Sep 02 2024 13:40:00 GMT+0530 (India Standard Time)","51321.25","51330.15","51304.25","51327.40","0.03","0.02","0"
"Mon Sep 02 2024 13:45:00 GMT+0530 (India Standard Time)","51328.25","51367.30","51326.90","51356.70","0.06","0.06","0"
"Mon Sep 02 2024 13:50:00 GMT+0530 (India Standard Time)","51357.70","51373.45","51347.75","51356.15","0","0","0"
"Mon Sep 02 2024 13:55:00 GMT+0530 (India Standard Time)","51357.45","51390.00","51342.35","51362.65","0.01","0.01","0"
"Mon Sep 02 2024 14:00:00 GMT+0530 (India Standard Time)","51365.00","51518.20","51359.75","51493.45","0.25","0.25","0"
"Mon Sep 02 2024 14:05:00 GMT+0530 (India Standard Time)","51486.15","51534.70","51486.15","51530.35","0.07","0.07","0"
"Mon Sep 02 2024 14:10:00 GMT+0530 (India Standard Time)","51529.65","51554.80","51505.55","51509.65","-0.04","-0.04","0"
"Mon Sep 02 2024 14:15:00 GMT+0530 (India Standard Time)","51508.40","51548.10","51507.75","51522.40","0.02","0.02","0"
"Mon Sep 02 2024 14:20:00 GMT+0530 (India Standard Time)","51530.80","51531.40","51454.35","51485.25","-0.07","-0.07","0"
"Mon Sep 02 2024 14:25:00 GMT+0530 (India Standard Time)","51488.70","51493.30","51440.10","51466.35","-0.04","-0.04","0"
"Mon Sep 02 2024 14:30:00 GMT+0530 (India Standard Time)","51464.10","51500.10","51458.60","51496.30","0.06","0.06","0"
"Mon Sep 02 2024 14:35:00 GMT+0530 (India Standard Time)","51493.55","51538.90","51483.75","51526.00","0.06","0.06","0"
"Mon Sep 02 2024 14:40:00 GMT+0530 (India Standard Time)","51524.90","51535.10","51493.15","51493.50","-0.06","-0.06","0"
"Mon Sep 02 2024 14:45:00 GMT+0530 (India Standard Time)","51496.00","51521.95","51474.25","51512.70","0.04","0.04","0"
"Mon Sep 02 2024 14:50:00 GMT+0530 (India Standard Time)","51512.30","51517.65","51449.05","51453.95","-0.11","-0.12","0"
"Mon Sep 02 2024 14:55:00 GMT+0530 (India Standard Time)","51453.90","51474.50","51437.85","51467.20","0.03","0.02","0"
"Mon Sep 02 2024 15:00:00 GMT+0530 (India Standard Time)","51468.50","51491.85","51426.05","51436.65","-0.06","-0.06","0"
"Mon Sep 02 2024 15:05:00 GMT+0530 (India Standard Time)","51435.15","51464.95","51406.75","51460.95","0.05","0.05","0"
"Mon Sep 02 2024 15:10:00 GMT+0530 (India Standard Time)","51462.80","51465.40","51429.15","51443.25","-0.03","-0.04","0"
"Mon Sep 02 2024 15:15:00 GMT+0530 (India Standard Time)","51441.65","51457.30","51430.20","51443.55","0","0","0"
"Mon Sep 02 2024 15:20:00 GMT+0530 (India Standard Time)","51448.30","51451.40","51415.25","51423.75","-0.04","-0.04","0"
"Mon Sep 02 2024 15:25:00 GMT+0530 (India Standard Time)","51423.05","51446.45","51380.15","51431.80","0.02","0.01","0"
"Tue Sep 03 2024 09:15:00 GMT+0530 (India Standard Time)","51479.75","51501.30","51349.60","51408.80","-0.04","-0.05","0"
"Tue Sep 03 2024 09:20:00 GMT+0530 (India Standard Time)","51410.75","51467.90","51381.25","51387.45","-0.04","-0.04","0"
"Tue Sep 03 2024 09:25:00 GMT+0530 (India Standard Time)","51392.30","51436.50","51384.00","51425.85","0.07","0.07","0"
"Tue Sep 03 2024 09:30:00 GMT+0530 (India Standard Time)","51425.45","51461.85","51418.65","51430.40","0.01","0.01","0"
"Tue Sep 03 2024 09:35:00 GMT+0530 (India Standard Time)","51430.25","51448.30","51375.50","51392.95","-0.07","-0.07","0"
"Tue Sep 03 2024 09:40:00 GMT+0530 (India Standard Time)","51393.50","51415.00","51385.75","51388.80","-0.01","-0.01","0"
"Tue Sep 03 2024 09:45:00 GMT+0530 (India Standard Time)","51388.55","51394.65","51360.95","51369.65","-0.04","-0.04","0"
"Tue Sep 03 2024 09:50:00 GMT+0530 (India Standard Time)","51371.15","51388.40","51359.10","51371.85","0","0","0"
"Tue Sep 03 2024 09:55:00 GMT+0530 (India Standard Time)","51370.65","51454.80","51305.15","51399.30","0.05","0.05","0"
"Tue Sep 03 2024 10:00:00 GMT+0530 (India Standard Time)","51399.25","51399.25","51364.70","51368.80","-0.06","-0.06","0"
"Tue Sep 03 2024 10:05:00 GMT+0530 (India Standard Time)","51366.80","51405.25","51365.80","51401.45","0.06","0.06","0"
"Tue Sep 03 2024 10:10:00 GMT+0530 (India Standard Time)","51401.00","51423.85","51395.15","51413.15","0.02","0.02","0"
"Tue Sep 03 2024 10:15:00 GMT+0530 (India Standard Time)","51412.85","51436.75","51407.70","51418.45","0.01","0.01","0"
"Tue Sep 03 2024 10:20:00 GMT+0530 (India Standard Time)","51415.65","51423.30","51389.25","51391.30","-0.05","-0.05","0"
"Tue Sep 03 2024 10:25:00 GMT+0530 (India Standard Time)","51392.60","51395.35","51338.35","51363.20","-0.05","-0.06","0"
"Tue Sep 03 2024 10:30:00 GMT+0530 (India Standard Time)","51363.15","51375.55","51346.50","51366.55","0.01","0","0"
"Tue Sep 03 2024 10:35:00 GMT+0530 (India Standard Time)","51367.95","51397.35","51365.00","51389.70","0.05","0.04","0"
"Tue Sep 03 2024 10:40:00 GMT+0530 (India Standard Time)","51388.80","51432.55","51386.25","51421.20","0.06","0.06","0"
"Tue Sep 03 2024 10:45:00 GMT+0530 (India Standard Time)","51416.65","51429.25","51397.35","51421.40","0","0","0"
"Tue Sep 03 2024 10:50:00 GMT+0530 (India Standard Time)","51420.75","51432.05","51385.90","51394.25","-0.05","-0.05","0"
"Tue Sep 03 2024 10:55:00 GMT+0530 (India Standard Time)","51390.90","51405.55","51377.45","51382.05","-0.02","-0.03","0"
"Tue Sep 03 2024 11:00:00 GMT+0530 (India Standard Time)","51382.85","51391.70","51366.95","51380.90","0","0","0"
"Tue Sep 03 2024 11:05:00 GMT+0530 (India Standard Time)","51381.40","51389.60","51355.20","51380.35","0","0","0"
"Tue Sep 03 2024 11:10:00 GMT+0530 (India Standard Time)","51379.90","51405.10","51288.40","51288.40","-0.18","-0.18","0"
"Tue Sep 03 2024 11:15:00 GMT+0530 (India Standard Time)","51294.45","51356.55","51240.05","51351.15","0.12","0.12","0"
"Tue Sep 03 2024 11:20:00 GMT+0530 (India Standard Time)","51354.10","51374.25","51342.20","51350.50","0","0","0"
"Tue Sep 03 2024 11:25:00 GMT+0530 (India Standard Time)","51350.55","51366.85","51333.50","51349.10","0","0","0"
"Tue Sep 03 2024 11:30:00 GMT+0530 (India Standard Time)","51350.25","51367.45","51338.95","51362.40","0.03","0.02","0"
"Tue Sep 03 2024 11:35:00 GMT+0530 (India Standard Time)","51362.55","51395.90","51362.55","51371.15","0.02","0.02","0"
"Tue Sep 03 2024 11:40:00 GMT+0530 (India Standard Time)","51369.95","51373.85","51349.60","51350.30","-0.04","-0.04","0"
"Tue Sep 03 2024 11:45:00 GMT+0530 (India Standard Time)","51350.30","51373.50","51338.80","51352.05","0","0","0"
"Tue Sep 03 2024 11:50:00 GMT+0530 (India Standard Time)","51356.05","51361.25","51318.55","51329.10","-0.04","-0.05","0"
"Tue Sep 03 2024 11:55:00 GMT+0530 (India Standard Time)","51328.15","51337.95","51315.60","51324.05","-0.01","-0.01","0"
"Tue Sep 03 2024 12:00:00 GMT+0530 (India Standard Time)","51326.25","51369.90","51312.45","51364.35","0.08","0.08","0"
"Tue Sep 03 2024 12:05:00 GMT+0530 (India Standard Time)","51362.15","51400.10","51355.05","51392.70","0.06","0.05","0"
"Tue Sep 03 2024 12:10:00 GMT+0530 (India Standard Time)","51392.70","51404.45","51364.60","51373.25","-0.04","-0.04","0"
